ValidTime,Latitude,Longitude,PM25
13.0,33.75,-118.5,16.3
13.0,33.75,-118.25,18.8
13.0,33.75,-118.0,33.3
13.0,33.75,-117.75,45.8
13.0,34.0,-118.5,48.6
13.0,34.0,-118.25,60.3
13.0,34.0,-118.0,59.6
13.0,34.0,-117.75,60.8
13.0,34.25,-118.5,75.3
13.0,34.25,-118.25,67.6
13.0,34.25,-118.0,49.8
13.0,34.25,-117.75,39.3
14.0,33.75,-118.5,16.2
14.0,33.75,-118.25,20.2
14.0,33.75,-118.0,37.1
14.0,33.75,-117.75,48.4
14.0,34.0,-118.5,51.9
14.0,34.0,-118.25,64.7
14.0,34.0,-118.0,64.8
14.0,34.0,-117.75,64.3
14.0,34.25,-118.5,80.3
14.0,34.25,-118.25,69.9
14.0,34.25,-118.0,50.3
14.0,34.25,-117.75,38.2
15.0,33.75,-118.5,15.5
15.0,33.75,-118.25,17.8
15.0,33.75,-118.0,24.8
15.0,33.75,-117.75,24.6
15.0,34.0,-118.5,39.4
15.0,34.0,-118.25,44.6
15.0,34.0,-118.0,42.5
15.0,34.0,-117.75,38.6
15.0,34.25,-118.5,48.0
15.0,34.25,-118.25,42.1
15.0,34.25,-118.0,31.6
15.0,34.25,-117.75,24.7
16.0,33.75,-118.5,14.3
16.0,33.75,-118.25,14.7
16.0,33.75,-118.0,15.4
16.0,33.75,-117.75,14.1
16.0,34.0,-118.5,26.7
16.0,34.0,-118.25,28.3
16.0,34.0,-118.0,24.7
16.0,34.0,-117.75,20.0
16.0,34.25,-118.5,22.9
16.0,34.25,-118.25,22.5
16.0,34.25,-118.0,18.3
16.0,34.25,-117.75,14.0
17.0,33.75,-118.5,13.2
17.0,33.75,-118.25,12.6
17.0,33.75,-118.0,12.7
17.0,33.75,-117.75,11.3
17.0,34.0,-118.5,18.2
17.0,34.0,-118.25,19.0
17.0,34.0,-118.0,18.6
17.0,34.0,-117.75,16.3
17.0,34.25,-118.5,16.2
17.0,34.25,-118.25,16.6
17.0,34.25,-118.0,14.4
17.0,34.25,-117.75,11.6
18.0,33.75,-118.5,12.3
18.0,33.75,-118.25,11.0
18.0,33.75,-118.0,10.8
18.0,33.75,-117.75,9.5
18.0,34.0,-118.5,14.7
18.0,34.0,-118.25,15.5
18.0,34.0,-118.0,15.2
18.0,34.0,-117.75,13.3
18.0,34.25,-118.5,13.4
18.0,34.25,-118.25,14.8
18.0,34.25,-118.0,13.3
18.0,34.25,-117.75,10.8
19.0,33.75,-118.5,11.8
19.0,33.75,-118.25,9.9
19.0,33.75,-118.0,9.5
19.0,33.75,-117.75,8.4
19.0,34.0,-118.5,12.0
19.0,34.0,-118.25,12.3
19.0,34.0,-118.0,12.3
19.0,34.0,-117.75,11.2
19.0,34.25,-118.5,11.1
19.0,34.25,-118.25,13.5
19.0,34.25,-118.0,12.6
19.0,34.25,-117.75,10.1
20.0,33.75,-118.5,11.4
20.0,33.75,-118.25,9.2
20.0,33.75,-118.0,8.9
20.0,33.75,-117.75,8.0
20.0,34.0,-118.5,10.0
20.0,34.0,-118.25,9.8
20.0,34.0,-118.0,10.3
20.0,34.0,-117.75,9.8
20.0,34.25,-118.5,9.4
20.0,34.25,-118.25,11.0
20.0,34.25,-118.0,11.0
20.0,34.25,-117.75,9.8
21.0,33.75,-118.5,11.2
21.0,33.75,-118.25,8.8
21.0,33.75,-118.0,8.5
21.0,33.75,-117.75,7.6
21.0,34.0,-118.5,8.8
21.0,34.0,-118.25,8.5
21.0,34.0,-118.0,9.1
21.0,34.0,-117.75,8.9
21.0,34.25,-118.5,7.8
21.0,34.25,-118.25,9.4
21.0,34.25,-118.0,10.0
21.0,34.25,-117.75,9.7
