ValidTime,Latitude,Longitude,PM25
13.0,33.75,-118.5,9.9
13.0,33.75,-118.25,14.6
13.0,33.75,-118.0,45.2
13.0,33.75,-117.75,82.3
13.0,34.0,-118.5,74.9
13.0,34.0,-118.25,92.6
13.0,34.0,-118.0,90.7
13.0,34.0,-117.75,119.9
13.0,34.25,-118.5,88.2
13.0,34.25,-118.25,85.3
13.0,34.25,-118.0,61.6
13.0,34.25,-117.75,45.6
14.0,33.75,-118.5,10.7
14.0,33.75,-118.25,16.7
14.0,33.75,-118.0,53.8
14.0,33.75,-117.75,99.9
14.0,34.0,-118.5,88.8
14.0,34.0,-118.25,103.1
14.0,34.0,-118.0,96.1
14.0,34.0,-117.75,127.6
14.0,34.25,-118.5,95.1
14.0,34.25,-118.25,86.3
14.0,34.25,-118.0,57.6
14.0,34.25,-117.75,36.7
15.0,33.75,-118.5,12.6
15.0,33.75,-118.25,18.5
15.0,33.75,-118.0,57.2
15.0,33.75,-117.75,110.9
15.0,34.0,-118.5,99.2
15.0,34.0,-118.25,106.1
15.0,34.0,-118.0,94.3
15.0,34.0,-117.75,130.8
15.0,34.25,-118.5,89.6
15.0,34.25,-118.25,79.2
15.0,34.25,-118.0,51.4
15.0,34.25,-117.75,28.8
16.0,33.75,-118.5,13.8
16.0,33.75,-118.25,17.6
16.0,33.75,-118.0,44.7
16.0,33.75,-117.75,83.7
16.0,34.0,-118.5,77.4
16.0,34.0,-118.25,74.6
16.0,34.0,-118.0,65.1
16.0,34.0,-117.75,92.2
16.0,34.25,-118.5,42.4
16.0,34.25,-118.25,44.2
16.0,34.25,-118.0,29.1
16.0,34.25,-117.75,13.7
17.0,33.75,-118.5,14.9
17.0,33.75,-118.25,16.5
17.0,33.75,-118.0,32.1
17.0,33.75,-117.75,52.4
17.0,34.0,-118.5,53.7
17.0,34.0,-118.25,59.5
17.0,34.0,-118.0,53.0
17.0,34.0,-117.75,66.6
17.0,34.25,-118.5,23.7
17.0,34.25,-118.25,32.4
17.0,34.25,-118.0,25.8
17.0,34.25,-117.75,9.2
18.0,33.75,-118.5,13.9
18.0,33.75,-118.25,14.9
18.0,33.75,-118.0,23.8
18.0,33.75,-117.75,32.9
18.0,34.0,-118.5,35.9
18.0,34.0,-118.25,44.5
18.0,34.0,-118.0,43.1
18.0,34.0,-117.75,52.8
18.0,34.25,-118.5,18.1
18.0,34.25,-118.25,26.4
18.0,34.25,-118.0,23.6
18.0,34.25,-117.75,10.6
19.0,33.75,-118.5,12.3
19.0,33.75,-118.25,12.9
19.0,33.75,-118.0,17.1
19.0,33.75,-117.75,21.3
19.0,34.0,-118.5,23.9
19.0,34.0,-118.25,32.0
19.0,34.0,-118.0,31.6
19.0,34.0,-117.75,31.6
19.0,34.25,-118.5,16.5
19.0,34.25,-118.25,22.3
19.0,34.25,-118.0,21.0
19.0,34.25,-117.75,11.6
20.0,33.75,-118.5,11.4
20.0,33.75,-118.25,11.8
20.0,33.75,-118.0,13.9
20.0,33.75,-117.75,16.7
20.0,34.0,-118.5,18.6
20.0,34.0,-118.25,24.5
20.0,34.0,-118.0,24.0
20.0,34.0,-117.75,25.0
20.0,34.25,-118.5,15.7
20.0,34.25,-118.25,20.0
20.0,34.25,-118.0,17.9
20.0,34.25,-117.75,11.6
21.0,33.75,-118.5,11.3
21.0,33.75,-118.25,11.0
21.0,33.75,-118.0,12.1
21.0,33.75,-117.75,14.1
21.0,34.0,-118.5,15.4
21.0,34.0,-118.25,18.5
21.0,34.0,-118.0,18.3
21.0,34.0,-117.75,22.3
21.0,34.25,-118.5,14.9
21.0,34.25,-118.25,17.4
21.0,34.25,-118.0,14.9
21.0,34.25,-117.75,12.4
22.0,33.75,-118.5,11.4
22.0,33.75,-118.25,11.0
22.0,33.75,-118.0,11.4
22.0,33.75,-117.75,12.6
22.0,34.0,-118.5,13.4
