ValidTime,Latitude,Longitude,PM25
13.0,33.75,-118.5,9.6
13.0,33.75,-118.25,16.5
13.0,33.75,-118.0,62.3
13.0,33.75,-117.75,131.1
13.0,34.0,-118.5,45.8
13.0,34.0,-118.25,60.8
13.0,34.0,-118.0,85.6
13.0,34.0,-117.75,161.3
13.0,34.25,-118.5,20.5
13.0,34.25,-118.25,33.3
13.0,34.25,-118.0,32.9
13.0,34.25,-117.75,18.9
14.0,33.75,-118.5,10.1
14.0,33.75,-118.25,18.4
14.0,33.75,-118.0,71.8
14.0,33.75,-117.75,153.6
14.0,34.0,-118.5,43.5
14.0,34.0,-118.25,59.1
14.0,34.0,-118.0,84.5
14.0,34.0,-117.75,150.3
14.0,34.25,-118.5,20.8
14.0,34.25,-118.25,33.0
14.0,34.25,-118.0,31.4
14.0,34.25,-117.75,16.1
15.0,33.75,-118.5,10.7
15.0,33.75,-118.25,19.7
15.0,33.75,-118.0,75.0
15.0,33.75,-117.75,148.8
15.0,34.0,-118.5,41.8
15.0,34.0,-118.25,58.8
15.0,34.0,-118.0,82.7
15.0,34.0,-117.75,135.6
15.0,34.25,-118.5,20.9
15.0,34.25,-118.25,33.3
15.0,34.25,-118.0,30.8
15.0,34.25,-117.75,14.7
16.0,33.75,-118.5,10.9
16.0,33.75,-118.25,18.1
16.0,33.75,-118.0,61.8
16.0,33.75,-117.75,119.1
16.0,34.0,-118.5,28.4
16.0,34.0,-118.25,37.2
16.0,34.0,-118.0,61.8
16.0,34.0,-117.75,99.6
16.0,34.25,-118.5,18.5
16.0,34.25,-118.25,23.6
16.0,34.25,-118.0,20.3
16.0,34.25,-117.75,12.4
17.0,33.75,-118.5,11.8
17.0,33.75,-118.25,16.0
17.0,33.75,-118.0,48.3
17.0,33.75,-117.75,84.7
17.0,34.0,-118.5,19.0
17.0,34.0,-118.25,25.3
17.0,34.0,-118.0,47.0
17.0,34.0,-117.75,75.6
17.0,34.25,-118.5,15.6
17.0,34.25,-118.25,17.2
17.0,34.25,-118.0,15.4
17.0,34.25,-117.75,9.8
18.0,33.75,-118.5,12.2
18.0,33.75,-118.25,14.6
18.0,33.75,-118.0,31.0
18.0,33.75,-117.75,44.5
18.0,34.0,-118.5,17.6
18.0,34.0,-118.25,20.0
18.0,34.0,-118.0,32.0
18.0,34.0,-117.75,46.5
18.0,34.25,-118.5,12.7
18.0,34.25,-118.25,13.5
18.0,34.25,-118.0,12.2
