ValidTime,Latitude,Longitude,PM25
13.0,33.75,-118.5,4.9
13.0,33.75,-118.25,8.0
13.0,33.75,-118.0,28.8
13.0,33.75,-117.75,46.2
13.0,34.0,-118.5,42.2
13.0,34.0,-118.25,54.7
13.0,34.0,-118.0,63.4
13.0,34.0,-117.75,74.4
13.0,34.25,-118.5,56.0
13.0,34.25,-118.25,52.6
13.0,34.25,-118.0,46.2
13.0,34.25,-117.75,43.1
14.0,33.75,-118.5,5.0
14.0,33.75,-118.25,9.7
14.0,33.75,-118.0,35.3
14.0,33.75,-117.75,53.6
14.0,34.0,-118.5,47.8
14.0,34.0,-118.25,60.2
14.0,34.0,-118.0,71.6
14.0,34.0,-117.75,81.6
14.0,34.25,-118.5,62.6
14.0,34.25,-118.25,55.0
14.0,34.25,-118.0,46.9
14.0,34.25,-117.75,42.1
15.0,33.75,-118.5,5.3
15.0,33.75,-118.25,10.8
15.0,33.75,-118.0,31.3
15.0,33.75,-117.75,42.1
15.0,34.0,-118.5,40.8
15.0,34.0,-118.25,50.4
15.0,34.0,-118.0,60.2
15.0,34.0,-117.75,61.6
15.0,34.25,-118.5,46.6
15.0,34.25,-118.25,42.4
15.0,34.25,-118.0,38.0
15.0,34.25,-117.75,31.9
16.0,33.75,-118.5,5.5
16.0,33.75,-118.25,9.6
16.0,33.75,-118.0,20.1
16.0,33.75,-117.75,21.6
16.0,34.0,-118.5,26.4
16.0,34.0,-118.25,31.6
16.0,34.0,-118.0,34.4
16.0,34.0,-117.75,31.2
16.0,34.25,-118.5,19.1
16.0,34.25,-118.25,21.9
16.0,34.25,-118.0,18.7
16.0,34.25,-117.75,12.0
17.0,33.75,-118.5,5.5
17.0,33.75,-118.25,7.4
17.0,33.75,-118.0,10.8
17.0,33.75,-117.75,11.7
17.0,34.0,-118.5,15.6
17.0,34.0,-118.25,18.0
17.0,34.0,-118.0,18.4
17.0,34.0,-117.75,16.0
17.0,34.25,-118.5,13.2
17.0,34.25,-118.25,14.1
17.0,34.25,-118.0,12.7
17.0,34.25,-117.75,9.2
18.0,33.75,-118.5,5.5
18.0,33.75,-118.25,6.2
18.0,33.75,-118.0,8.5
18.0,33.75,-117.75,9.1
18.0,34.0,-118.5,11.1
18.0,34.0,-118.25,12.4
18.0,34.0,-118.0,13.6
18.0,34.0,-117.75,13.6
18.0,34.25,-118.5,10.1
18.0,34.25,-118.25,10.9
18.0,34.25,-118.0,10.4
18.0,34.25,-117.75,8.0
19.0,33.75,-118.5,5.6
19.0,33.75,-118.25,5.6
19.0,33.75,-118.0,6.7
19.0,33.75,-117.75,6.9
19.0,34.0,-118.5,8.5
19.0,34.0,-118.25,9.8
19.0,34.0,-118.0,10.9
19.0,34.0,-117.75,10.7
19.0,34.25,-118.5,8.2
19.0,34.25,-118.25,9.4
19.0,34.25,-118.0,9.8
19.0,34.25,-117.75,8.1
20.0,33.75,-118.5,5.8
20.0,33.75,-118.25,5.5
20.0,33.75,-118.0,5.9
20.0,33.75,-117.75,5.7
20.0,34.0,-118.5,6.8
20.0,34.0,-118.25,7.7
20.0,34.0,-118.0,8.7
20.0,34.0,-117.75,8.9
20.0,34.25,-118.5,6.8
20.0,34.25,-118.25,8.0
20.0,34.25,-118.0,8.9
20.0,34.25,-117.75,8.4
21.0,33.75,-118.5,6.0
21.0,33.75,-118.25,5.6
21.0,33.75,-118.0,5.6
21.0,33.75,-117.75,5.1
21.0,34.0,-118.5,6.0
21.0,34.0,-118.25,6.7
21.0,34.0,-118.0,7.6
21.0,34.0,-117.75,7.6
21.0,34.25,-118.5,5.8
21.0,34.25,-118.25,6.9
21.0,34.25,-118.0,8.1
21.0,34.25,-117.75,8.3
22.0,33.75,-118.5,6.0
22.0,33.75,-118.25,5.8
22.0,33.75,-118.0,5.7
22.0,33.75,-117.75,5.0
22.0,34.0,-118.5,5.6
22.0,34.0,-118.25,6.3
22.0,34.0,-118.0,6.9
22.0,34.0,-117.75,6.5
22.0,34.25,-118.5,5.0
22.0,34.25,-118.25,6.1
22.0,34.25,-118.0,7.3
22.0,34.25,-117.75,7.6
23.0,33.75,-118.5,6.0
23.0,33.75,-118.25,5.9
23.0,33.75,-118.0,5.9
23.0,33.75,-117.75,5.1
23.0,34.0,-118.5,5.5
23.0,34.0,-118.25,6.1
23.0,34.0,-118.0,6.5
23.0,34.0,-117.75,5.9
23.0,34.25,-118.5,4.6
23.0,34.25,-118.25,5.5
23.0,34.25,-118.0,6.5
23.0,34.25,-117.75,6.8
24.0,33.75,-118.5,6.0
24.0,33.75,-118.25,6.0
24.0,33.75,-118.0,6.1
24.0,33.75,-117.75,5.4
24.0,34.0,-118.5,5.4
24.0,34.0,-118.25,6.0
24.0,34.0,-118.0,6.5
24.0,34.0,-117.75,5.9
24.0,34.25,-118.5,4.5
24.0,34.25,-118.25,5.3
24.0,34.25,-118.0,6.2
24.0,34.25,-117.75,6.3
25.0,33.75,-118.5,6.2
25.0,33.75,-118.25,6.2
25.0,33.75,-118.0,6.3
25.0,33.75,-117.75,5.8
25.0,34.0,-118.5,5.6
25.0,34.0,-118.25,6.2
25.0,34.0,-118.0,6.9
25.0,34.0,-117.75,6.4
25.0,34.25,-118.5,4.7
25.0,34.25,-118.25,5.5
25.0,34.25,-118.0,6.4
