ValidTime,Latitude,Longitude,PM25
13.0,33.75,-118.5,10.0
13.0,33.75,-118.25,24.1
13.0,33.75,-118.0,67.8
13.0,33.75,-117.75,96.5
13.0,34.0,-118.5,42.2
13.0,34.0,-118.25,72.2
13.0,34.0,-118.0,106.1
13.0,34.0,-117.75,154.8
13.0,34.25,-118.5,21.9
13.0,34.25,-118.25,36.5
13.0,34.25,-118.0,40.5
13.0,34.25,-117.75,35.5
14.0,33.75,-118.5,10.4
14.0,33.75,-118.25,27.5
14.0,33.75,-118.0,73.3
14.0,33.75,-117.75,105.5
14.0,34.0,-118.5,43.6
14.0,34.0,-118.25,75.3
14.0,34.0,-118.0,107.6
14.0,34.0,-117.75,154.8
14.0,34.25,-118.5,21.1
14.0,34.25,-118.25,37.4
14.0,34.25,-118.0,39.8
14.0,34.25,-117.75,31.1
15.0,33.75,-118.5,12.8
15.0,33.75,-118.25,32.6
15.0,33.75,-118.0,76.6
15.0,33.75,-117.75,103.8
15.0,34.0,-118.5,46.0
15.0,34.0,-118.25,82.7
15.0,34.0,-118.0,109.5
15.0,34.0,-117.75,146.8
15.0,34.25,-118.5,21.1
15.0,34.25,-118.25,40.1
15.0,34.25,-118.0,41.6
15.0,34.25,-117.75,27.0
16.0,33.75,-118.5,14.2
16.0,33.75,-118.25,32.8
16.0,33.75,-118.0,63.2
16.0,33.75,-117.75,72.5
16.0,34.0,-118.5,32.1
16.0,34.0,-118.25,49.1
16.0,34.0,-118.0,77.6
16.0,34.0,-117.75,108.5
16.0,34.25,-118.5,21.1
16.0,34.25,-118.25,25.7
16.0,34.25,-118.0,21.8
16.0,34.25,-117.75,16.7
17.0,33.75,-118.5,16.6
17.0,33.75,-118.25,31.0
17.0,33.75,-118.0,42.6
17.0,33.75,-117.75,40.8
17.0,34.0,-118.5,24.1
17.0,34.0,-118.25,35.5
17.0,34.0,-118.0,46.8
17.0,34.0,-117.75,43.5
17.0,34.25,-118.5,16.5
17.0,34.25,-118.25,17.2
17.0,34.25,-118.0,14.7
17.0,34.25,-117.75,11.8
18.0,33.75,-118.5,16.4
18.0,33.75,-118.25,25.0
18.0,33.75,-118.0,30.6
18.0,33.75,-117.75,29.1
18.0,34.0,-118.5,19.7
18.0,34.0,-118.25,27.5
18.0,34.0,-118.0,35.2
18.0,34.0,-117.75,32.9
18.0,34.25,-118.5,13.9
18.0,34.25,-118.25,14.5
18.0,34.25,-118.0,14.4
18.0,34.25,-117.75,13.0
19.0,33.75,-118.5,16.1
19.0,33.75,-118.25,20.7
19.0,33.75,-118.0,24.6
19.0,33.75,-117.75,23.7
19.0,34.0,-118.5,17.0
19.0,34.0,-118.25,22.0
19.0,34.0,-118.0,28.4
19.0,34.0,-117.75,29.8
19.0,34.25,-118.5,12.6
19.0,34.25,-118.25,12.9
19.0,34.25,-118.0,13.8
19.0,34.25,-117.75,14.0
20.0,33.75,-118.5,15.5
20.0,33.75,-118.25,19.2
20.0,33.75,-118.0,21.2
20.0,33.75,-117.75,20.0
20.0,34.0,-118.5,16.5
20.0,34.0,-118.25,20.7
20.0,34.0,-118.0,25.2
20.0,34.0,-117.75,25.8
20.0,34.25,-118.5,13.1
20.0,34.25,-118.25,12.9
20.0,34.25,-118.0,14.2
20.0,34.25,-117.75,15.2
21.0,33.75,-118.5,15.0
21.0,33.75,-118.25,17.7
21.0,33.75,-118.0,18.6
21.0,33.75,-117.75,17.5
21.0,34.0,-118.5,16.3
21.0,34.0,-118.25,19.9
21.0,34.0,-118.0,23.0
21.0,34.0,-117.75,22.6
21.0,34.25,-118.5,13.4
21.0,34.25,-118.25,14.0
21.0,34.25,-118.0,15.5
21.0,34.25,-117.75,16.0
22.0,33.75,-118.5,14.5
22.0,33.75,-118.25,16.4
22.0,33.75,-118.0,17.0
22.0,33.75,-117.75,15.9
22.0,34.0,-118.5,16.0
22.0,34.0,-118.25,19.0
22.0,34.0,-118.0,21.6
22.0,34.0,-117.75,21.6
22.0,34.25,-118.5,14.3
22.0,34.25,-118.25,15.6
22.0,34.25,-118.0,17.3
22.0,34.25,-117.75,18.4
23.0,33.75,-118.5,14.1
23.0,33.75,-118.25,15.6
23.0,33.75,-118.0,15.9
23.0,33.75,-117.75,14.6
23.0,34.0,-118.5,15.7
23.0,34.0,-118.25,18.3
23.0,34.0,-118.0,20.2
23.0,34.0,-117.75,19.4
23.0,34.25,-118.5,15.6
23.0,34.25,-118.25,17.5
23.0,34.25,-118.0,19.0
23.0,34.25,-117.75,19.4
24.0,33.75,-118.5,13.6
24.0,33.75,-118.25,15.0
24.0,33.75,-118.0,15.3
24.0,33.75,-117.75,14.3
24.0,34.0,-118.5,15.3
24.0,34.0,-118.25,17.8
24.0,34.0,-118.0,19.3
24.0,34.0,-117.75,18.6
24.0,34.25,-118.5,16.0
24.0,34.25,-118.25,18.5
24.0,34.25,-118.0,20.0
24.0,34.25,-117.75,20.3
25.0,33.75,-118.5,13.0
25.0,33.75,-118.25,14.5
25.0,33.75,-118.0,15.0
25.0,33.75,-117.75,14.3
25.0,34.0,-118.5,14.8
25.0,34.0,-118.25,17.5
25.0,34.0,-118.0,18.8
25.0,34.0,-117.75,18.2
25.0,34.25,-118.5,15.9
25.0,34.25,-118.25,18.7
25.0,34.25,-118.0,20.5
25.0,34.25,-117.75,20.6
26.0,33.75,-118.5,12.3
26.0,33.75,-118.25,14.0
26.0,33.75,-118.0,14.9
26.0,33.75,-117.75,14.6
26.0,34.0,-118.5,14.6
26.0,34.0,-118.25,18.0
26.0,34.0,-118.0,19.3
26.0,34.0,-117.75,18.8
26.0,34.25,-118.5,15.7
26.0,34.25,-118.25,19.0
26.0,34.25,-118.0,21.4
26.0,34.25,-117.75,23.1
27.0,33.75,-118.5,11.7
27.0,33.75,-118.25,13.4
27.0,33.75,-118.0,15.3
27.0,33.75,-117.75,16.0
27.0,34.0,-118.5,15.1
27.0,34.0,-118.25,20.0
27.0,34.0,-118.0,22.0
27.0,34.0,-117.75,21.0
27.0,34.25,-118.5,16.7
27.0,34.25,-118.25,24.3
27.0,34.25,-118.0,27.0
