ValidTime,Latitude,Longitude,PM25
13.0,33.75,-118.5,12.2
13.0,33.75,-118.25,24.8
13.0,33.75,-118.0,63.3
13.0,33.75,-117.75,82.7
13.0,34.0,-118.5,86.0
13.0,34.0,-118.25,92.9
13.0,34.0,-118.0,107.0
13.0,34.0,-117.75,123.5
13.0,34.25,-118.5,99.8
13.0,34.25,-118.25,92.3
13.0,34.25,-118.0,71.3
13.0,34.25,-117.75,55.1
14.0,33.75,-118.5,12.6
14.0,33.75,-118.25,31.1
14.0,33.75,-118.0,77.0
14.0,33.75,-117.75,96.0
14.0,34.0,-118.5,97.5
14.0,34.0,-118.25,101.5
14.0,34.0,-118.0,116.8
14.0,34.0,-117.75,130.5
14.0,34.25,-118.5,105.0
14.0,34.25,-118.25,87.4
14.0,34.25,-118.0,63.0
14.0,34.25,-117.75,47.5
15.0,33.75,-118.5,12.8
15.0,33.75,-118.25,36.0
15.0,33.75,-118.0,91.5
15.0,33.75,-117.75,111.0
15.0,34.0,-118.5,109.5
15.0,34.0,-118.25,106.4
15.0,34.0,-118.0,122.8
15.0,34.0,-117.75,136.8
15.0,34.25,-118.5,108.0
15.0,34.25,-118.25,83.2
15.0,34.25,-118.0,52.7
15.0,34.25,-117.75,37.6
16.0,33.75,-118.5,12.5
16.0,33.75,-118.25,35.0
16.0,33.75,-118.0,70.7
16.0,33.75,-117.75,74.5
16.0,34.0,-118.5,82.5
16.0,34.0,-118.25,78.8
16.0,34.0,-118.0,88.3
16.0,34.0,-117.75,93.5
16.0,34.25,-118.5,49.3
16.0,34.25,-118.25,53.8
16.0,34.25,-118.0,36.0
16.0,34.25,-117.75,17.8
17.0,33.75,-118.5,12.4
17.0,33.75,-118.25,28.6
17.0,33.75,-118.0,49.9
17.0,33.75,-117.75,48.5
17.0,34.0,-118.5,51.9
17.0,34.0,-118.25,54.9
17.0,34.0,-118.0,64.9
17.0,34.0,-117.75,61.5
17.0,34.25,-118.5,22.1
17.0,34.25,-118.25,26.0
17.0,34.25,-118.0,21.9
17.0,34.25,-117.75,10.7
18.0,33.75,-118.5,12.2
18.0,33.75,-118.25,23.8
18.0,33.75,-118.0,34.0
18.0,33.75,-117.75,28.4
18.0,34.0,-118.5,31.6
18.0,34.0,-118.25,32.3
18.0,34.0,-118.0,42.6
18.0,34.0,-117.75,33.8
18.0,34.25,-118.5,16.9
18.0,34.25,-118.25,15.7
18.0,34.25,-118.0,12.6
18.0,34.25,-117.75,6.9
19.0,33.75,-118.5,11.9
19.0,33.75,-118.25,16.7
19.0,33.75,-118.0,23.2
19.0,33.75,-117.75,21.3
19.0,34.0,-118.5,22.7
19.0,34.0,-118.25,20.9
19.0,34.0,-118.0,27.9
19.0,34.0,-117.75,25.4
19.0,34.25,-118.5,14.8
19.0,34.25,-118.25,13.0
19.0,34.25,-118.0,11.5
19.0,34.25,-117.75,8.4
20.0,33.75,-118.5,11.9
20.0,33.75,-118.25,13.1
20.0,33.75,-118.0,17.6
20.0,33.75,-117.75,17.7
20.0,34.0,-118.5,18.7
20.0,34.0,-118.25,16.9
20.0,34.0,-118.0,21.5
20.0,34.0,-117.75,22.3
20.0,34.25,-118.5,13.9
20.0,34.25,-118.25,13.0
20.0,34.25,-118.0,12.5
20.0,34.25,-117.75,10.3
21.0,33.75,-118.5,12.0
21.0,33.75,-118.25,12.1
21.0,33.75,-118.0,14.6
21.0,33.75,-117.75,15.1
21.0,34.0,-118.5,16.6
21.0,34.0,-118.25,15.5
21.0,34.0,-118.0,18.0
21.0,34.0,-117.75,18.7
21.0,34.25,-118.5,13.7
21.0,34.25,-118.25,13.5
21.0,34.25,-118.0,13.2
21.0,34.25,-117.75,12.0
22.0,33.75,-118.5,12.3
22.0,33.75,-118.25,12.1
22.0,33.75,-118.0,13.3
22.0,33.75,-117.75,13.5
22.0,34.0,-118.5,15.1
22.0,34.0,-118.25,14.8
22.0,34.0,-118.0,16.4
22.0,34.0,-117.75,16.5
22.0,34.25,-118.5,13.4
22.0,34.25,-118.25,13.6
22.0,34.25,-118.0,13.6
22.0,34.25,-117.75,12.5
23.0,33.75,-118.5,12.6
23.0,33.75,-118.25,12.5
23.0,33.75,-118.0,12.8
23.0,33.75,-117.75,12.6
23.0,34.0,-118.5,14.1
23.0,34.0,-118.25,14.4
23.0,34.0,-118.0,15.7
23.0,34.0,-117.75,15.4
23.0,34.25,-118.5,12.6
23.0,34.25,-118.25,13.4
23.0,34.25,-118.0,14.4
23.0,34.25,-117.75,13.4
24.0,33.75,-118.5,13.0
24.0,33.75,-118.25,13.0
24.0,33.75,-118.0,12.9
24.0,33.75,-117.75,12.3
24.0,34.0,-118.5,13.4
24.0,34.0,-118.25,14.2
24.0,34.0,-118.0,15.7
24.0,34.0,-117.75,15.3
24.0,34.25,-118.5,12.1
24.0,34.25,-118.25,13.3
24.0,34.25,-118.0,14.2
24.0,34.25,-117.75,13.9
25.0,33.75,-118.5,13.6
25.0,33.75,-118.25,13.6
