ValidTime,Latitude,Longitude,PM25
13.0,33.75,-118.5,20.9
13.0,33.75,-118.25,31.1
13.0,33.75,-118.0,33.5
13.0,33.75,-117.75,31.8
13.0,34.0,-118.5,58.3
13.0,34.0,-118.25,56.9
13.0,34.0,-118.0,47.2
13.0,34.0,-117.75,35.2
13.0,34.25,-118.5,61.4
13.0,34.25,-118.25,42.5
13.0,34.25,-118.0,25.1
13.0,34.25,-117.75,22.7
14.0,33.75,-118.5,25.2
14.0,33.75,-118.25,35.1
14.0,33.75,-118.0,36.0
14.0,33.75,-117.75,35.2
14.0,34.0,-118.5,64.6
14.0,34.0,-118.25,60.1
14.0,34.0,-118.0,46.9
14.0,34.0,-117.75,34.7
14.0,34.25,-118.5,60.4
14.0,34.25,-118.25,41.1
14.0,34.25,-118.0,24.1
14.0,34.25,-117.75,23.8
15.0,33.75,-118.5,21.8
15.0,33.75,-118.25,26.5
15.0,33.75,-118.0,29.7
15.0,33.75,-117.75,30.4
15.0,34.0,-118.5,58.7
15.0,34.0,-118.25,47.7
15.0,34.0,-118.0,35.4
15.0,34.0,-117.75,29.9
15.0,34.25,-118.5,49.4
15.0,34.25,-118.25,34.4
15.0,34.25,-118.0,22.1
15.0,34.25,-117.75,22.4
16.0,33.75,-118.5,17.8
16.0,33.75,-118.25,19.5
16.0,33.75,-118.0,21.1
16.0,33.75,-117.75,21.3
16.0,34.0,-118.5,35.8
16.0,34.0,-118.25,28.8
16.0,34.0,-118.0,24.7
16.0,34.0,-117.75,22.4
16.0,34.25,-118.5,29.3
16.0,34.25,-118.25,23.4
16.0,34.25,-118.0,18.8
16.0,34.25,-117.75,19.0
17.0,33.75,-118.5,16.0
17.0,33.75,-118.25,17.5
17.0,33.75,-118.0,18.8
17.0,33.75,-117.75,19.4
17.0,34.0,-118.5,27.3
17.0,34.0,-118.25,24.9
17.0,34.0,-118.0,23.6
17.0,34.0,-117.75,21.6
17.0,34.25,-118.5,25.7
17.0,34.25,-118.25,22.8
17.0,34.25,-118.0,18.7
17.0,34.25,-117.75,17.2
18.0,33.75,-118.5,14.6
18.0,33.75,-118.25,16.0
18.0,33.75,-118.0,17.1
18.0,33.75,-117.75,17.9
18.0,34.0,-118.5,23.6
18.0,34.0,-118.25,23.7
18.0,34.0,-118.0,22.9
18.0,34.0,-117.75,20.6
18.0,34.25,-118.5,25.2
18.0,34.25,-118.25,22.8
18.0,34.25,-118.0,17.7
18.0,34.25,-117.75,15.8
19.0,33.75,-118.5,13.5
19.0,33.75,-118.25,14.4
19.0,33.75,-118.0,15.4
19.0,33.75,-117.75,16.4
19.0,34.0,-118.5,20.8
19.0,34.0,-118.25,21.8
19.0,34.0,-118.0,21.6
19.0,34.0,-117.75,20.3
19.0,34.25,-118.5,21.0
19.0,34.25,-118.25,20.5
19.0,34.25,-118.0,18.2
19.0,34.25,-117.75,17.2
20.0,33.75,-118.5,13.0
20.0,33.75,-118.25,13.4
20.0,33.75,-118.0,14.2
20.0,33.75,-117.75,15.0
20.0,34.0,-118.5,18.3
20.0,34.0,-118.25,19.4
20.0,34.0,-118.0,20.0
20.0,34.0,-117.75,19.8
20.0,34.25,-118.5,17.8
20.0,34.25,-118.25,18.7
20.0,34.25,-118.0,18.8
20.0,34.25,-117.75,18.3
21.0,33.75,-118.5,13.0
21.0,33.75,-118.25,13.1
21.0,33.75,-118.0,13.4
21.0,33.75,-117.75,13.7
21.0,34.0,-118.5,15.9
21.0,34.0,-118.25,17.0
21.0,34.0,-118.0,17.2
21.0,34.0,-117.75,16.8
21.0,34.25,-118.5,16.4
21.0,34.25,-118.25,17.6
21.0,34.25,-118.0,17.8
21.0,34.25,-117.75,17.4
22.0,33.75,-118.5,13.5
22.0,33.75,-118.25,13.2
22.0,33.75,-118.0,13.2
22.0,33.75,-117.75,13.2
22.0,34.0,-118.5,14.7
22.0,34.0,-118.25,15.5
22.0,34.0,-118.0,15.7
22.0,34.0,-117.75,15.2
22.0,34.25,-118.5,14.7
22.0,34.25,-118.25,16.0
