ValidTime,Latitude,Longitude,PM25
13.0,33.75,-118.5,12.5
13.0,33.75,-118.25,27.9
13.0,33.75,-118.0,111.7
13.0,33.75,-117.75,140.8
13.0,34.0,-118.5,60.1
13.0,34.0,-118.25,85.7
13.0,34.0,-118.0,151.1
13.0,34.0,-117.75,234.6
13.0,34.25,-118.5,24.3
13.0,34.25,-118.25,44.5
13.0,34.25,-118.0,58.6
13.0,34.25,-117.75,84.1
14.0,33.75,-118.5,14.6
14.0,33.75,-118.25,33.5
14.0,33.75,-118.0,129.3
14.0,33.75,-117.75,153.8
14.0,34.0,-118.5,55.0
14.0,34.0,-118.25,84.2
14.0,34.0,-118.0,163.3
14.0,34.0,-117.75,221.1
14.0,34.25,-118.5,21.9
14.0,34.25,-118.25,43.2
14.0,34.25,-118.0,59.5
14.0,34.25,-117.75,72.8
15.0,33.75,-118.5,19.1
15.0,33.75,-118.25,42.6
15.0,33.75,-118.0,130.6
15.0,33.75,-117.75,158.1
15.0,34.0,-118.5,61.9
15.0,34.0,-118.25,91.7
15.0,34.0,-118.0,136.6
15.0,34.0,-117.75,144.6
15.0,34.25,-118.5,22.1
15.0,34.25,-118.25,43.8
15.0,34.25,-118.0,51.9
15.0,34.25,-117.75,50.1
16.0,33.75,-118.5,22.1
16.0,33.75,-118.25,50.4
16.0,33.75,-118.0,140.8
16.0,33.75,-117.75,160.8
16.0,34.0,-118.5,53.7
16.0,34.0,-118.25,79.8
16.0,34.0,-118.0,138.3
16.0,34.0,-117.75,153.3
16.0,34.25,-118.5,20.7
16.0,34.25,-118.25,33.8
16.0,34.25,-118.0,37.8
16.0,34.25,-117.75,56.1
17.0,33.75,-118.5,23.4
17.0,33.75,-118.25,52.1
17.0,33.75,-118.0,112.2
17.0,33.75,-117.75,115.5
17.0,34.0,-118.5,30.1
17.0,34.0,-118.25,56.3
17.0,34.0,-118.0,109.3
17.0,34.0,-117.75,112.0
17.0,34.25,-118.5,16.1
17.0,34.25,-118.25,19.9
17.0,34.25,-118.0,19.0
17.0,34.25,-117.75,17.2
18.0,33.75,-118.5,24.1
18.0,33.75,-118.25,52.0
18.0,33.75,-118.0,78.1
18.0,33.75,-117.75,64.3
18.0,34.0,-118.5,24.9
18.0,34.0,-118.25,50.8
18.0,34.0,-118.0,91.1
18.0,34.0,-117.75,80.2
18.0,34.25,-118.5,11.5
18.0,34.25,-118.25,16.3
18.0,34.25,-118.0,17.7
18.0,34.25,-117.75,13.7
19.0,33.75,-118.5,21.1
19.0,33.75,-118.25,44.6
19.0,33.75,-118.0,50.9
19.0,33.75,-117.75,40.3
19.0,34.0,-118.5,21.6
19.0,34.0,-118.25,44.1
19.0,34.0,-118.0,58.5
19.0,34.0,-117.75,34.3
19.0,34.25,-118.5,11.2
19.0,34.25,-118.25,16.8
19.0,34.25,-118.0,18.6
19.0,34.25,-117.75,14.7
20.0,33.75,-118.5,18.4
20.0,33.75,-118.25,31.5
20.0,33.75,-118.0,38.4
20.0,33.75,-117.75,33.5
20.0,34.0,-118.5,19.3
20.0,34.0,-118.25,34.0
20.0,34.0,-118.0,44.5
20.0,34.0,-117.75,30.7
20.0,34.25,-118.5,11.9
20.0,34.25,-118.25,17.9
20.0,34.25,-118.0,19.8
20.0,34.25,-117.75,15.9
21.0,33.75,-118.5,16.8
21.0,33.75,-118.25,24.5
21.0,33.75,-118.0,31.2
21.0,33.75,-117.75,29.4
21.0,34.0,-118.5,17.8
21.0,34.0,-118.25,28.4
21.0,34.0,-118.0,37.3
21.0,34.0,-117.75,28.9
21.0,34.25,-118.5,12.5
21.0,34.25,-118.25,18.3
21.0,34.25,-118.0,20.5
21.0,34.25,-117.75,17.0
22.0,33.75,-118.5,16.2
22.0,33.75,-118.25,19.9
22.0,33.75,-118.0,25.6
22.0,33.75,-117.75,25.5
22.0,34.0,-118.5,16.7
22.0,34.0,-118.25,24.1
22.0,34.0,-118.0,31.6
22.0,34.0,-117.75,27.3
22.0,34.25,-118.5,12.4
22.0,34.25,-118.25,17.8
22.0,34.25,-118.0,20.3
22.0,34.25,-117.75,17.7
23.0,33.75,-118.5,15.8
23.0,33.75,-118.25,17.8
23.0,33.75,-118.0,21.8
23.0,33.75,-117.75,21.5
23.0,34.0,-118.5,15.7
23.0,34.0,-118.25,21.5
23.0,34.0,-118.0,27.7
23.0,34.0,-117.75,25.5
23.0,34.25,-118.5,11.8
23.0,34.25,-118.25,16.7
23.0,34.25,-118.0,19.5
23.0,34.25,-117.75,17.9
24.0,33.75,-118.5,14.7
24.0,33.75,-118.25,16.6
24.0,33.75,-118.0,19.6
24.0,33.75,-117.75,19.0
24.0,34.0,-118.5,14.8
24.0,34.0,-118.25,20.0
24.0,34.0,-118.0,25.7
24.0,34.0,-117.75,24.7
24.0,34.25,-118.5,11.3
24.0,34.25,-118.25,16.1
24.0,34.25,-118.0,19.1
24.0,34.25,-117.75,18.1
25.0,33.75,-118.5,13.4
25.0,33.75,-118.25,15.7
25.0,33.75,-118.0,18.6
25.0,33.75,-117.75,18.1
25.0,34.0,-118.5,14.3
25.0,34.0,-118.25,19.8
25.0,34.0,-118.0,25.5
25.0,34.0,-117.75,25.3
25.0,34.25,-118.5,11.4
25.0,34.25,-118.25,16.4
25.0,34.25,-118.0,19.8
25.0,34.25,-117.75,19.0
26.0,33.75,-118.5,12.0
26.0,33.75,-118.25,14.7
26.0,33.75,-118.0,18.7
26.0,33.75,-117.75,19.9
26.0,34.0,-118.5,15.2
26.0,34.0,-118.25,24.6
26.0,34.0,-118.0,30.1
26.0,34.0,-117.75,32.1
26.0,34.25,-118.5,13.1
26.0,34.25,-118.25,20.9
26.0,34.25,-118.0,25.5
26.0,34.25,-117.75,24.8
27.0,33.75,-118.5,10.6
27.0,33.75,-118.25,13.6
27.0,33.75,-118.0,20.0
27.0,33.75,-117.75,22.8
27.0,34.0,-118.5,15.3
27.0,34.0,-118.25,30.2
27.0,34.0,-118.0,38.2
27.0,34.0,-117.75,40.1
27.0,34.25,-118.5,16.9
27.0,34.25,-118.25,28.0
27.0,34.25,-118.0,34.5
27.0,34.25,-117.75,35.6
28.0,33.75,-118.5,9.7
28.0,33.75,-118.25,13.7
28.0,33.75,-118.0,25.0
28.0,33.75,-117.75,31.1
28.0,34.0,-118.5,16.6
28.0,34.0,-118.25,36.2
28.0,34.0,-118.0,52.6
28.0,34.0,-117.75,60.6
28.0,34.25,-118.5,20.2
28.0,34.25,-118.25,34.6
28.0,34.25,-118.0,44.5
28.0,34.25,-117.75,49.8
29.0,33.75,-118.5,9.4
29.0,33.75,-118.25,16.5
29.0,33.75,-118.0,34.8
29.0,33.75,-117.75,49.0
29.0,34.0,-118.5,21.9
29.0,34.0,-118.25,57.8
29.0,34.0,-118.0,85.7
29.0,34.0,-117.75,91.7
29.0,34.25,-118.5,25.1
29.0,34.25,-118.25,48.0
29.0,34.25,-118.0,68.7
29.0,34.25,-117.75,74.0
30.0,33.75,-118.5,9.3
30.0,33.75,-118.25,21.0
30.0,33.75,-118.0,49.5
30.0,33.75,-117.75,72.5
30.0,34.0,-118.5,38.8
30.0,34.0,-118.25,86.0
30.0,34.0,-118.0,114.0
30.0,34.0,-117.75,122.2
30.0,34.25,-118.5,31.6
30.0,34.25,-118.25,63.8
30.0,34.25,-118.0,86.3
30.0,34.25,-117.75,87.2
31.0,33.75,-118.5,9.0
31.0,33.75,-118.25,24.4
31.0,33.75,-118.0,65.8
31.0,33.75,-117.75,92.7
31.0,34.0,-118.5,59.9
31.0,34.0,-118.25,111.8
31.0,34.0,-118.0,137.3
31.0,34.0,-117.75,150.1
31.0,34.25,-118.5,38.0
31.0,34.25,-118.25,69.5
31.0,34.25,-118.0,91.7
31.0,34.25,-117.75,95.6
32.0,33.75,-118.5,8.7
32.0,33.75,-118.25,27.6
32.0,33.75,-118.0,83.1
32.0,33.75,-117.75,110.7
32.0,34.0,-118.5,79.1
32.0,34.0,-118.25,133.6
32.0,34.0,-118.0,158.3
32.0,34.0,-117.75,175.1
32.0,34.25,-118.5,53.7
32.0,34.25,-118.25,82.8
32.0,34.25,-118.0,96.3
32.0,34.25,-117.75,100.2
33.0,33.75,-118.5,9.2
33.0,33.75,-118.25,34.6
33.0,33.75,-118.0,104.7
33.0,33.75,-117.75,129.8
33.0,34.0,-118.5,96.1
33.0,34.0,-118.25,147.6
33.0,34.0,-118.0,178.6
33.0,34.0,-117.75,199.6
33.0,34.25,-118.5,53.8
33.0,34.25,-118.25,83.1
33.0,34.25,-118.0,95.8
33.0,34.25,-117.75,99.7
34.0,33.75,-118.5,10.4
34.0,33.75,-118.25,44.8
34.0,33.75,-118.0,128.0
34.0,33.75,-117.75,147.1
34.0,34.0,-118.5,115.7
34.0,34.0,-118.25,142.1
34.0,34.0,-118.0,176.1
34.0,34.0,-117.75,208.3
34.0,34.25,-118.5,48.0
34.0,34.25,-118.25,71.6
34.0,34.25,-118.0,70.5
34.0,34.25,-117.75,84.1
35.0,33.75,-118.5,12.1
35.0,33.75,-118.25,57.1
35.0,33.75,-118.0,152.6
35.0,33.75,-117.75,164.8
35.0,34.0,-118.5,126.7
35.0,34.0,-118.25,124.8
35.0,34.0,-118.0,175.3
35.0,34.0,-117.75,219.1
35.0,34.25,-118.5,37.1
35.0,34.25,-118.25,53.8
35.0,34.25,-118.0,45.0
35.0,34.25,-117.75,74.1
36.0,33.75,-118.5,16.9
36.0,33.75,-118.25,70.6
36.0,33.75,-118.0,173.1
36.0,33.75,-117.75,181.3
36.0,34.0,-118.5,129.1
36.0,34.0,-118.25,132.3
36.0,34.0,-118.0,191.3
36.0,34.0,-117.75,216.8
36.0,34.25,-118.5,33.4
36.0,34.25,-118.25,50.0
36.0,34.25,-118.0,45.1
36.0,34.25,-117.75,69.3
37.0,33.75,-118.5,24.2
37.0,33.75,-118.25,82.2
37.0,33.75,-118.0,176.3
37.0,33.75,-117.75,189.1
37.0,34.0,-118.5,118.1
37.0,34.0,-118.25,127.1
37.0,34.0,-118.0,169.8
37.0,34.0,-117.75,168.1
37.0,34.25,-118.5,30.7
37.0,34.25,-118.25,43.7
37.0,34.25,-118.0,38.8
37.0,34.25,-117.75,58.6
38.0,33.75,-118.5,32.2
38.0,33.75,-118.25,90.1
38.0,33.75,-118.0,172.8
38.0,33.75,-117.75,189.8
38.0,34.0,-118.5,85.2
38.0,34.0,-118.25,121.4
38.0,34.0,-118.0,146.3
38.0,34.0,-117.75,106.3
38.0,34.25,-118.5,25.4
38.0,34.25,-118.25,38.6
38.0,34.25,-118.0,39.3
38.0,34.25,-117.75,39.1
39.0,33.75,-118.5,38.9
39.0,33.75,-118.25,96.2
39.0,33.75,-118.0,178.3
39.0,33.75,-117.75,190.1
39.0,34.0,-118.5,71.2
39.0,34.0,-118.25,111.6
39.0,34.0,-118.0,135.8
