datehour,pm25_obs,pm25_geoscf,pm25_obs_lag1,pm25_obs_lag2,pm25_obs_lag3,pm25_obs_lag4,pm25_obs_lag5,pm25_obs_lag6,pm25_obs_lag7,pm25_obs_lag8,pm25_obs_lag9,pm25_obs_lag10,pm25_obs_lag11,pm25_obs_lag12,pm25_obs_lag13,pm25_obs_lag14,pm25_obs_lag15,pm25_obs_lag16,pm25_obs_lag17,pm25_obs_lag18,pm25_obs_lag19,pm25_obs_lag20,pm25_obs_lag21,pm25_obs_lag22,pm25_obs_lag23,pm25_obs_lag24,pm25_geoscf_lag1,pm25_geoscf_lag3,hour,dayofweek
2023-08-02 12:00:00,15.6,43.375,9.685714285714285,12.185714285714285,12.271428571428572,13.5,14.2,13.814285714285715,12.857142857142858,14.37142857142857,13.457142857142857,11.942857142857141,14.042857142857143,14.171428571428573,13.714285714285714,12.985714285714284,12.35,12.6,16.133333333333333,14.866666666666667,13.183333333333332,14.328571428571427,15.928571428571429,16.557142857142857,18.314285714285713,16.37142857142857,34.875,31.016666666666666,12,2
2023-08-02 13:00:00,14.6,47.61666666666667,15.6,9.685714285714285,12.185714285714285,12.271428571428572,13.5,14.2,13.814285714285715,12.857142857142858,14.37142857142857,13.457142857142857,11.942857142857141,14.042857142857143,14.171428571428573,13.714285714285714,12.985714285714284,12.35,12.6,16.133333333333333,14.866666666666667,13.183333333333332,14.328571428571427,15.928571428571429,16.557142857142857,18.314285714285713,43.375,33.03333333333333,13,2
2023-08-02 14:00:00,15.657142857142857,38.449999999999996,14.6,15.6,9.685714285714285,12.185714285714285,12.271428571428572,13.5,14.2,13.814285714285715,12.857142857142858,14.37142857142857,13.457142857142857,11.942857142857141,14.042857142857143,14.171428571428573,13.714285714285714,12.985714285714284,12.35,12.6,16.133333333333333,14.866666666666667,13.183333333333332,14.328571428571427,15.928571428571429,16.557142857142857,47.61666666666667,34.875,14,2
2023-08-02 15:00:00,15.9,21.008333333333333,15.657142857142857,14.6,15.6,9.685714285714285,12.185714285714285,12.271428571428572,13.5,14.2,13.814285714285715,12.857142857142858,14.37142857142857,13.457142857142857,11.942857142857141,14.042857142857143,14.171428571428573,13.714285714285714,12.985714285714284,12.35,12.6,16.133333333333333,14.866666666666667,13.183333333333332,14.328571428571427,15.928571428571429,38.449999999999996,43.375,15,2
2023-08-02 16:00:00,14.0,12.716666666666667,15.9,15.657142857142857,14.6,15.6,9.685714285714285,12.185714285714285,12.271428571428572,13.5,14.2,13.814285714285715,12.857142857142858,14.37142857142857,13.457142857142857,11.942857142857141,14.042857142857143,14.171428571428573,13.714285714285714,12.985714285714284,12.35,12.6,16.133333333333333,14.866666666666667,13.183333333333332,14.328571428571427,21.008333333333333,47.61666666666667,16,2
2023-08-02 17:00:00,15.271428571428572,9.950000000000001,14.0,15.9,15.657142857142857,14.6,15.6,9.685714285714285,12.185714285714285,12.271428571428572,13.5,14.2,13.814285714285715,12.857142857142858,14.37142857142857,13.457142857142857,11.942857142857141,14.042857142857143,14.171428571428573,13.714285714285714,12.985714285714284,12.35,12.6,16.133333333333333,14.866666666666667,13.183333333333332,12.716666666666667,38.449999999999996,17,2
2023-08-02 18:00:00,15.4,8.35,15.271428571428572,14.0,15.9,15.657142857142857,14.6,15.6,9.685714285714285,12.185714285714285,12.271428571428572,13.5,14.2,13.814285714285715,12.857142857142858,14.37142857142857,13.457142857142857,11.942857142857141,14.042857142857143,14.171428571428573,13.714285714285714,12.985714285714284,12.35,12.6,16.133333333333333,14.866666666666667,9.950000000000001,21.008333333333333,18,2
2023-08-02 19:00:00,12.983333333333334,7.258333333333333,15.4,15.271428571428572,14.0,15.9,15.657142857142857,14.6,15.6,9.685714285714285,12.185714285714285,12.271428571428572,13.5,14.2,13.814285714285715,12.857142857142858,14.37142857142857,13.457142857142857,11.942857142857141,14.042857142857143,14.171428571428573,13.714285714285714,12.985714285714284,12.35,12.6,16.133333333333333,8.35,12.716666666666667,19,2
2023-08-02 20:00:00,13.166666666666666,6.608333333333333,12.983333333333334,15.4,15.271428571428572,14.0,15.9,15.657142857142857,14.6,15.6,9.685714285714285,12.185714285714285,12.271428571428572,13.5,14.2,13.814285714285715,12.857142857142858,14.37142857142857,13.457142857142857,11.942857142857141,14.042857142857143,14.171428571428573,13.714285714285714,12.985714285714284,12.35,12.6,7.258333333333333,9.950000000000001,20,2
2023-08-02 21:00:00,11.683333333333332,6.1499999999999995,13.166666666666666,12.983333333333334,15.4,15.271428571428572,14.0,15.9,15.657142857142857,14.6,15.6,9.685714285714285,12.185714285714285,12.271428571428572,13.5,14.2,13.814285714285715,12.857142857142858,14.37142857142857,13.457142857142857,11.942857142857141,14.042857142857143,14.171428571428573,13.714285714285714,12.985714285714284,12.35,6.608333333333333,8.35,21,2
2023-08-02 22:00:00,11.285714285714286,5.858333333333333,11.683333333333332,13.166666666666666,12.983333333333334,15.4,15.271428571428572,14.0,15.9,15.657142857142857,14.6,15.6,9.685714285714285,12.185714285714285,12.271428571428572,13.5,14.2,13.814285714285715,12.857142857142858,14.37142857142857,13.457142857142857,11.942857142857141,14.042857142857143,14.171428571428573,13.714285714285714,12.985714285714284,6.1499999999999995,7.258333333333333,22,2
2023-08-02 23:00:00,10.385714285714286,5.8,11.285714285714286,11.683333333333332,13.166666666666666,12.983333333333334,15.4,15.271428571428572,14.0,15.9,15.657142857142857,14.6,15.6,9.685714285714285,12.185714285714285,12.271428571428572,13.5,14.2,13.814285714285715,12.857142857142858,14.37142857142857,13.457142857142857,11.942857142857141,14.042857142857143,14.171428571428573,13.714285714285714,5.858333333333333,6.608333333333333,23,2
2023-08-03 00:00:00,11.12857142857143,6.05,10.385714285714286,11.285714285714286,11.683333333333332,13.166666666666666,12.983333333333334,15.4,15.271428571428572,14.0,15.9,15.657142857142857,14.6,15.6,9.685714285714285,12.185714285714285,12.271428571428572,13.5,14.2,13.814285714285715,12.857142857142858,14.37142857142857,13.457142857142857,11.942857142857141,14.042857142857143,14.171428571428573,5.8,6.1499999999999995,0,3
2023-08-03 01:00:00,11.171428571428573,6.866666666666667,11.12857142857143,10.385714285714286,11.285714285714286,11.683333333333332,13.166666666666666,12.983333333333334,15.4,15.271428571428572,14.0,15.9,15.657142857142857,14.6,15.6,9.685714285714285,12.185714285714285,12.271428571428572,13.5,14.2,13.814285714285715,12.857142857142858,14.37142857142857,13.457142857142857,11.942857142857141,14.042857142857143,6.05,5.858333333333333,1,3
2023-08-03 02:00:00,11.171428571428573,9.225,11.171428571428573,11.12857142857143,10.385714285714286,11.285714285714286,11.683333333333332,13.166666666666666,12.983333333333334,15.4,15.271428571428572,14.0,15.9,15.657142857142857,14.6,15.6,9.685714285714285,12.185714285714285,12.271428571428572,13.5,14.2,13.814285714285715,12.857142857142858,14.37142857142857,13.457142857142857,11.942857142857141,6.866666666666667,5.8,2,3
2023-08-03 03:00:00,10.271428571428572,12.466666666666667,11.171428571428573,11.171428571428573,11.12857142857143,10.385714285714286,11.285714285714286,11.683333333333332,13.166666666666666,12.983333333333334,15.4,15.271428571428572,14.0,15.9,15.657142857142857,14.6,15.6,9.685714285714285,12.185714285714285,12.271428571428572,13.5,14.2,13.814285714285715,12.857142857142858,14.37142857142857,13.457142857142857,9.225,6.05,3,3
2023-08-03 04:00:00,11.671428571428573,15.941666666666668,10.271428571428572,11.171428571428573,11.171428571428573,11.12857142857143,10.385714285714286,11.285714285714286,11.683333333333332,13.166666666666666,12.983333333333334,15.4,15.271428571428572,14.0,15.9,15.657142857142857,14.6,15.6,9.685714285714285,12.185714285714285,12.271428571428572,13.5,14.2,13.814285714285715,12.857142857142858,14.37142857142857,12.466666666666667,6.866666666666667,4,3
2023-08-03 05:00:00,8.77142857142857,19.783333333333335,11.671428571428573,10.271428571428572,11.171428571428573,11.171428571428573,11.12857142857143,10.385714285714286,11.285714285714286,11.683333333333332,13.166666666666666,12.983333333333334,15.4,15.271428571428572,14.0,15.9,15.657142857142857,14.6,15.6,9.685714285714285,12.185714285714285,12.271428571428572,13.5,14.2,13.814285714285715,12.857142857142858,15.941666666666668,9.225,5,3
