datehour,pm25_obs,pm25_geoscf,pm25_obs_lag1
2023-08-01 13:00:00,18.314285714285713,42.86666666666667,16.37142857142857
2023-08-01 14:00:00,16.557142857142857,24.608333333333334,18.314285714285713
2023-08-01 15:00:00,15.928571428571429,14.625,16.557142857142857
2023-08-01 16:00:00,14.328571428571427,12.325000000000001,15.928571428571429
2023-08-01 17:00:00,13.183333333333332,11.466666666666667,14.328571428571427
2023-08-01 18:00:00,14.866666666666667,10.958333333333334,13.183333333333332
2023-08-01 19:00:00,16.133333333333333,10.533333333333333,14.866666666666667
2023-08-01 20:00:00,12.6,10.116666666666667,16.133333333333333
2023-08-01 21:00:00,12.35,9.633333333333333,12.6
2023-08-01 22:00:00,12.985714285714284,9.041666666666666,12.35
2023-08-01 23:00:00,13.714285714285714,8.458333333333334,12.985714285714284
2023-08-02 00:00:00,14.171428571428573,8.025,13.714285714285714
2023-08-02 01:00:00,14.042857142857143,7.9750000000000005,14.171428571428573
2023-08-02 02:00:00,11.942857142857141,9.291666666666666,14.042857142857143
2023-08-02 03:00:00,13.457142857142857,11.958333333333334,11.942857142857141
2023-08-02 04:00:00,14.37142857142857,15.049999999999999,13.457142857142857
2023-08-02 05:00:00,12.857142857142858,18.516666666666666,14.37142857142857
2023-08-02 06:00:00,13.814285714285715,22.391666666666666,12.857142857142858
2023-08-02 07:00:00,14.2,26.05,13.814285714285715
2023-08-02 08:00:00,13.5,29.0,14.2
2023-08-02 09:00:00,12.271428571428572,31.016666666666666,13.5
2023-08-02 10:00:00,12.185714285714285,33.03333333333333,12.271428571428572
2023-08-02 11:00:00,9.685714285714285,34.875,12.185714285714285
2023-08-02 12:00:00,15.6,43.375,9.685714285714285
2023-08-02 13:00:00,14.6,47.61666666666667,15.6
2023-08-02 14:00:00,15.657142857142857,38.449999999999996,14.6
2023-08-02 15:00:00,15.9,21.008333333333333,15.657142857142857
2023-08-02 16:00:00,14.0,12.716666666666667,15.9
2023-08-02 17:00:00,15.271428571428572,9.950000000000001,14.0
2023-08-02 18:00:00,15.4,8.35,15.271428571428572
2023-08-02 19:00:00,12.983333333333334,7.258333333333333,15.4
2023-08-02 20:00:00,13.166666666666666,6.608333333333333,12.983333333333334
2023-08-02 21:00:00,11.683333333333332,6.1499999999999995,13.166666666666666
2023-08-02 22:00:00,11.285714285714286,5.858333333333333,11.683333333333332
2023-08-02 23:00:00,10.385714285714286,5.8,11.285714285714286
2023-08-03 00:00:00,11.12857142857143,6.05,10.385714285714286
2023-08-03 01:00:00,11.171428571428573,6.866666666666667,11.12857142857143
2023-08-03 02:00:00,11.171428571428573,9.225,11.171428571428573
2023-08-03 03:00:00,10.271428571428572,12.466666666666667,11.171428571428573
2023-08-03 04:00:00,11.671428571428573,15.941666666666668,10.271428571428572
2023-08-03 05:00:00,8.77142857142857,19.783333333333335,11.671428571428573
2023-08-03 06:00:00,9.514285714285714,23.7,8.77142857142857
2023-08-03 07:00:00,8.914285714285715,27.825,9.514285714285714
2023-08-03 08:00:00,9.914285714285715,31.46666666666667,8.914285714285715
2023-08-03 09:00:00,8.642857142857142,34.550000000000004,9.914285714285715
2023-08-03 10:00:00,7.042857142857143,38.516666666666666,8.642857142857142
2023-08-03 11:00:00,7.3999999999999995,42.333333333333336,7.042857142857143
2023-08-03 12:00:00,9.828571428571427,46.68333333333334,7.3999999999999995
2023-08-03 13:00:00,13.1,50.93333333333334,9.828571428571427
2023-08-03 14:00:00,12.671428571428573,45.50833333333333,13.1
2023-08-03 15:00:00,15.857142857142858,26.924999999999997,12.671428571428573
2023-08-03 16:00:00,15.242857142857144,18.616666666666667,15.857142857142858
2023-08-03 17:00:00,14.271428571428572,14.25,15.242857142857144
2023-08-03 18:00:00,12.728571428571428,12.183333333333332,14.271428571428572
2023-08-03 19:00:00,12.942857142857141,11.558333333333332,12.728571428571428
2023-08-03 20:00:00,11.657142857142857,11.1,12.942857142857141
