AQSID,Latitude,Longitude,ValidTime,PM25
060371302,33.9014,-118.205,4,11.7
060370016,34.1439,-117.8508,4,13.1
060371201,34.1992,-118.5331,4,21.6
840060374010,34.181977,-118.363036,4,11.0
060590007,33.830586,-117.938509,4,14.9
840060374009,33.793713,-118.171019,4,8.3
060371103,34.066429,-118.226755,4,14.4
060371103,34.066429,-118.226755,5,12.9
840060374009,33.793713,-118.171019,5,9.8
060371201,34.1992,-118.5331,5,18.7
840060374010,34.181977,-118.363036,5,10.8
060590007,33.830586,-117.938509,5,11.6
060370016,34.1439,-117.8508,5,12.3
060371302,33.9014,-118.205,5,9.3
060590007,33.830586,-117.938509,6,10.8
060371103,34.066429,-118.226755,6,12.4
060371302,33.9014,-118.205,6,8.0
840060374010,34.181977,-118.363036,6,9.1
840060374009,33.793713,-118.171019,6,12.7
060371201,34.1992,-118.5331,6,17.0
060370016,34.1439,-117.8508,6,12.3
060590007,33.830586,-117.938509,7,8.4
060370016,34.1439,-117.8508,7,12.1
060371201,34.1992,-118.5331,7,15.0
060371103,34.066429,-118.226755,7,14.4
060371302,33.9014,-118.205,7,8.3
840060374010,34.181977,-118.363036,7,9.1
840060374009,33.793713,-118.171019,7,11.5
060590007,33.830586,-117.938509,8,7.6
060370016,34.1439,-117.8508,8,10.9
060371103,34.066429,-118.226755,8,16.6
840060374010,34.181977,-118.363036,8,9.5
060371302,33.9014,-118.205,8,11.7
840060374009,33.793713,-118.171019,8,9.8
060371201,34.1992,-118.5331,8,18.1
060371103,34.066429,-118.226755,9,15.1
060370016,34.1439,-117.8508,9,9.9
840060374009,33.793713,-118.171019,9,5.6
840060374010,34.181977,-118.363036,9,11.0
060371201,34.1992,-118.5331,9,14.0
060371302,33.9014,-118.205,9,10.0
060590007,33.830586,-117.938509,9,9.3
060371201,34.1992,-118.5331,10,14.1
060590007,33.830586,-117.938509,10,10.4
840060374010,34.181977,-118.363036,10,12.0
840060374009,33.793713,-118.171019,10,4.6
060370016,34.1439,-117.8508,10,14.6
060371302,33.9014,-118.205,10,6.1
060371103,34.066429,-118.226755,10,13.9
060371302,33.9014,-118.205,11,6.6
840060374009,33.793713,-118.171019,11,4.4
060590007,33.830586,-117.938509,11,11.8
060371103,34.066429,-118.226755,11,13.4
060370016,34.1439,-117.8508,11,8.8
060371201,34.1992,-118.5331,11,14.8
840060374010,34.181977,-118.363036,11,12.7
840060374010,34.181977,-118.363036,12,13.2
060370016,34.1439,-117.8508,12,7.9
060590007,33.830586,-117.938509,12,13.7
060371103,34.066429,-118.226755,12,15.4
060371302,33.9014,-118.205,12,7.3
840060374009,33.793713,-118.171019,12,7.8
060371201,34.1992,-118.5331,12,17.0
060371103,34.066429,-118.226755,13,15.1
840060374009,33.793713,-118.171019,13,8.3
060590007,33.830586,-117.938509,13,13.0
060371201,34.1992,-118.5331,13,10.2
060370016,34.1439,-117.8508,13,9.9
060371302,33.9014,-118.205,13,11.7
840060374010,34.181977,-118.363036,13,9.8
840060374010,34.181977,-118.363036,14,23.3
060590007,33.830586,-117.938509,14,17.8
060371201,34.1992,-118.5331,14,12.3
060370016,34.1439,-117.8508,14,11.1
060371302,33.9014,-118.205,14,14.9
060371103,34.066429,-118.226755,14,17.1
840060374009,33.793713,-118.171019,14,10.2
060370016,34.1439,-117.8508,15,7.9
060371103,34.066429,-118.226755,15,19.8
840060374009,33.793713,-118.171019,15,11.2
060371302,33.9014,-118.205,15,12.2
840060374010,34.181977,-118.363036,15,20.9
060371201,34.1992,-118.5331,15,13.3
060590007,33.830586,-117.938509,15,20.3
840060374010,34.181977,-118.363036,16,15.7
060370016,34.1439,-117.8508,16,9.7
060371302,33.9014,-118.205,16,16.1
060371103,34.066429,-118.226755,16,22.5
060590007,33.830586,-117.938509,16,15.4
060371201,34.1992,-118.5331,16,17.0
840060374009,33.793713,-118.171019,16,13.2
060371201,34.1992,-118.5331,17,16.5
840060374010,34.181977,-118.363036,17,16.7
060371302,33.9014,-118.205,17,22.0
060590007,33.830586,-117.938509,17,22.8
840060374009,33.793713,-118.171019,17,21.7
060371103,34.066429,-118.226755,17,24.9
060370016,34.1439,-117.8508,17,10.7
060371103,34.066429,-118.226755,18,19.1
060370016,34.1439,-117.8508,18,20.4
060371302,33.9014,-118.205,18,25.4
840060374010,34.181977,-118.363036,18,17.7
060590007,33.830586,-117.938509,18,14.2
840060374009,33.793713,-118.171019,18,19.8
060371201,34.1992,-118.5331,18,13.3
840060374009,33.793713,-118.171019,19,17.9
840060374010,34.181977,-118.363036,19,20.4
060590007,33.830586,-117.938509,19,18.3
060371302,33.9014,-118.205,19,27.1
060371103,34.066429,-118.226755,19,21.7
060371201,34.1992,-118.5331,19,17.3
060370016,34.1439,-117.8508,19,14.6
060371103,34.066429,-118.226755,20,23.2
060370016,34.1439,-117.8508,20,16.8
060590007,33.830586,-117.938509,20,19.5
840060374009,33.793713,-118.171019,20,21.0
060371302,33.9014,-118.205,20,26.4
060371201,34.1992,-118.5331,20,15.5
840060374010,34.181977,-118.363036,20,18.2
060371302,33.9014,-118.205,21,23.0
060370016,34.1439,-117.8508,21,11.1
060590007,33.830586,-117.938509,21,17.6
060371103,34.066429,-118.226755,21,25.7
840060374010,34.181977,-118.363036,21,17.2
060371201,34.1992,-118.5331,21,12.4
840060374009,33.793713,-118.171019,21,18.1
840060374010,34.181977,-118.363036,22,17.2
840060374009,33.793713,-118.171019,22,11.0
060371302,33.9014,-118.205,22,21.2
060371103,34.066429,-118.226755,22,24.7
060590007,33.830586,-117.938509,22,13.2
060370016,34.1439,-117.8508,22,12.4
060371201,34.1992,-118.5331,22,7.0
840060374010,34.181977,-118.363036,23,8.8
060371201,34.1992,-118.5331,23,8.7
840060374009,33.793713,-118.171019,23,10.0
060371302,33.9014,-118.205,23,18.3
060370016,34.1439,-117.8508,23,22.5
060590007,33.830586,-117.938509,23,14.9
060371103,34.066429,-118.226755,23,24.4
060371103,34.066429,-118.226755,24,15.9
060590007,33.830586,-117.938509,24,16.9
060370016,34.1439,-117.8508,24,20.9
060371201,34.1992,-118.5331,24,12.1
840060374010,34.181977,-118.363036,24,11.2
840060374009,33.793713,-118.171019,24,12.2
060371302,33.9014,-118.205,24,14.6
060371103,34.066429,-118.226755,25,13.6
060371302,33.9014,-118.205,25,18.5
840060374009,33.793713,-118.171019,25,14.4
060370016,34.1439,-117.8508,25,18.6
060371201,34.1992,-118.5331,25,8.5
060590007,33.830586,-117.938509,25,11.3
840060374010,34.181977,-118.363036,25,13.2
060371201,34.1992,-118.5331,26,10.2
840060374009,33.793713,-118.171019,26,9.5
060371302,33.9014,-118.205,26,15.1
060590007,33.830586,-117.938509,26,12.7
060371103,34.066429,-118.226755,26,15.6
840060374010,34.181977,-118.363036,26,17.5
060370016,34.1439,-117.8508,26,19.4
060371302,33.9014,-118.205,27,16.6
060371201,34.1992,-118.5331,27,13.1
060370016,34.1439,-117.8508,27,12.6
840060374009,33.793713,-118.171019,27,6.3
060590007,33.830586,-117.938509,27,15.2
060371103,34.066429,-118.226755,27,18.3
840060374010,34.181977,-118.363036,27,20.9
840060374010,34.181977,-118.363036,28,21.4
060370016,34.1439,-117.8508,28,16.1
060371302,33.9014,-118.205,28,13.4
060371103,34.066429,-118.226755,28,20.2
840060374009,33.793713,-118.171019,28,8.1
060590007,33.830586,-117.938509,28,13.2
060371201,34.1992,-118.5331,28,13.3
060590007,33.830586,-117.938509,29,12.9
840060374010,34.181977,-118.363036,29,18.7
060371302,33.9014,-118.205,29,12.4
060370016,34.1439,-117.8508,29,13.9
060371103,34.066429,-118.226755,29,21.7
060371201,34.1992,-118.5331,29,17.5
840060374009,33.793713,-118.171019,29,10.8
840060374010,34.181977,-118.363036,30,14.5
060371103,34.066429,-118.226755,30,19.6
060590007,33.830586,-117.938509,30,12.2
060371302,33.9014,-118.205,30,14.2
060370016,34.1439,-117.8508,30,13.1
840060374009,33.793713,-118.171019,30,13.2
060371201,34.1992,-118.5331,30,20.5
060371302,33.9014,-118.205,31,16.8
060590007,33.830586,-117.938509,31,14.7
840060374010,34.181977,-118.363036,31,19.4
060370016,34.1439,-117.8508,31,11.9
060371103,34.066429,-118.226755,31,20.7
840060374009,33.793713,-118.171019,31,10.5
060371201,34.1992,-118.5331,31,21.4
840060374010,34.181977,-118.363036,32,18.5
060371201,34.1992,-118.5331,32,15.6
060370016,34.1439,-117.8508,32,10.9
060371302,33.9014,-118.205,32,13.2
060590007,33.830586,-117.938509,32,9.3
840060374009,33.793713,-118.171019,32,8.8
060371103,34.066429,-118.226755,32,22.7
060370016,34.1439,-117.8508,33,9.9
840060374010,34.181977,-118.363036,33,21.1
060590007,33.830586,-117.938509,33,15.9
840060374009,33.793713,-118.171019,33,11.5
060371103,34.066429,-118.226755,33,20.0
060371302,33.9014,-118.205,33,14.6
060371201,34.1992,-118.5331,33,15.0
840060374009,33.793713,-118.171019,34,12.5
840060374010,34.181977,-118.363036,34,15.7
060371201,34.1992,-118.5331,34,20.0
060370016,34.1439,-117.8508,34,15.8
060371103,34.066429,-118.226755,34,21.0
060371302,33.9014,-118.205,34,19.3
060590007,33.830586,-117.938509,34,16.6
060590007,33.830586,-117.938509,35,18.3
840060374010,34.181977,-118.363036,35,17.5
840060374009,33.793713,-118.171019,35,11.3
060370016,34.1439,-117.8508,35,17.0
060371103,34.066429,-118.226755,35,23.9
060371302,33.9014,-118.205,35,16.6
060371201,34.1992,-118.5331,35,19.5
060370016,34.1439,-117.8508,36,2.1
060590007,33.830586,-117.938509,36,17.1
060371302,33.9014,-118.205,36,16.1
840060374010,34.181977,-118.363036,36,11.5
060371103,34.066429,-118.226755,36,24.4
060371201,34.1992,-118.5331,36,17.8
840060374009,33.793713,-118.171019,36,14.7
060590007,33.830586,-117.938509,37,23.5
060371201,34.1992,-118.5331,37,26.5
060370016,34.1439,-117.8508,37,6.0
840060374009,33.793713,-118.171019,37,16.2
060371302,33.9014,-118.205,37,20.3
840060374010,34.181977,-118.363036,37,19.2
060371103,34.066429,-118.226755,37,26.9
060590007,33.830586,-117.938509,38,24.3
060371201,34.1992,-118.5331,38,22.3
840060374009,33.793713,-118.171019,38,23.2
060371302,33.9014,-118.205,38,22.2
060371103,34.066429,-118.226755,38,32.5
840060374010,34.181977,-118.363036,38,14.5
060370016,34.1439,-117.8508,38,19.2
060371302,33.9014,-118.205,39,23.7
060371103,34.066429,-118.226755,39,27.4
060371201,34.1992,-118.5331,39,23.1
840060374010,34.181977,-118.363036,39,20.6
840060374009,33.793713,-118.171019,39,18.3
060370016,34.1439,-117.8508,39,13.6
060590007,33.830586,-117.938509,39,25.7
060371201,34.1992,-118.5331,40,21.8
060371302,33.9014,-118.205,40,24.9
840060374010,34.181977,-118.363036,40,16.2
060590007,33.830586,-117.938509,40,26.7
840060374009,33.793713,-118.171019,40,17.4
060371103,34.066429,-118.226755,40,32.7
060370016,34.1439,-117.8508,40,14.6
060371302,33.9014,-118.205,41,22.2
060371103,34.066429,-118.226755,41,33.0
060370016,34.1439,-117.8508,41,12.1
840060374009,33.793713,-118.171019,41,16.4
840060374010,34.181977,-118.363036,41,17.5
060371201,34.1992,-118.5331,41,9.9
060590007,33.830586,-117.938509,41,22.8
