AQSID,Latitude,Longitude,ValidTime,PM25
840060374010,34.181977,-118.363036,4,11.5
060370016,34.1439,-117.8508,4,7.6
840060374009,33.793713,-118.171019,4,8.3
060590007,33.830586,-117.938509,4,9.3
060371201,34.1992,-118.5331,4,9.9
060371302,33.9014,-118.205,4,12.7
060371103,34.066429,-118.226755,4,6.5
840060374009,33.793713,-118.171019,5,5.8
060371302,33.9014,-118.205,5,9.5
840060374010,34.181977,-118.363036,5,8.6
060371201,34.1992,-118.5331,5,9.9
060590007,33.830586,-117.938509,5,9.4
060370016,34.1439,-117.8508,5,19.6
060371103,34.066429,-118.226755,5,5.7
060590007,33.830586,-117.938509,6,9.6
060371302,33.9014,-118.205,6,5.9
060370016,34.1439,-117.8508,6,10.3
840060374010,34.181977,-118.363036,6,8.1
060371103,34.066429,-118.226755,6,5.0
060371201,34.1992,-118.5331,6,9.9
840060374009,33.793713,-118.171019,6,8.0
060371302,33.9014,-118.205,7,10.2
060371201,34.1992,-118.5331,7,9.9
060371103,34.066429,-118.226755,7,5.0
060590007,33.830586,-117.938509,7,7.9
840060374010,34.181977,-118.363036,7,10.3
840060374009,33.793713,-118.171019,7,5.3
060370016,34.1439,-117.8508,7,14.8
060371302,33.9014,-118.205,8,12.7
060370016,34.1439,-117.8508,8,13.5
060590007,33.830586,-117.938509,8,6.1
840060374010,34.181977,-118.363036,8,7.4
060371201,34.1992,-118.5331,8,9.9
060371103,34.066429,-118.226755,8,5.7
840060374009,33.793713,-118.171019,8,9.3
060371302,33.9014,-118.205,9,13.9
060371103,34.066429,-118.226755,9,5.0
840060374010,34.181977,-118.363036,9,9.3
060590007,33.830586,-117.938509,9,4.7
840060374009,33.793713,-118.171019,9,9.8
060371201,34.1992,-118.5331,9,9.9
060370016,34.1439,-117.8508,9,8.8
060371201,34.1992,-118.5331,10,9.9
840060374010,34.181977,-118.363036,10,10.8
060590007,33.830586,-117.938509,10,6.6
060370016,34.1439,-117.8508,10,6.6
840060374009,33.793713,-118.171019,10,10.5
060371302,33.9014,-118.205,10,12.9
060371103,34.066429,-118.226755,10,6.7
840060374009,33.793713,-118.171019,11,19.5
060590007,33.830586,-117.938509,11,4.4
840060374010,34.181977,-118.363036,11,8.3
060371103,34.066429,-118.226755,11,7.4
060371201,34.1992,-118.5331,11,9.8
060370016,34.1439,-117.8508,11,10.1
060371302,33.9014,-118.205,11,11.5
060371103,34.066429,-118.226755,12,6.5
840060374010,34.181977,-118.363036,12,6.9
840060374009,33.793713,-118.171019,12,16.6
060371302,33.9014,-118.205,12,15.3
060370016,34.1439,-117.8508,12,10.6
060371201,34.1992,-118.5331,12,9.9
060590007,33.830586,-117.938509,12,4.9
840060374009,33.793713,-118.171019,13,17.4
