AQSID,Latitude,Longitude,ValidTime,PM25
840060374010,34.181977,-118.363036,4,7.1
060590007,33.830586,-117.938509,4,8.1
060371103,34.066429,-118.226755,4,8.6
840060374009,33.793713,-118.171019,4,6.3
060371302,33.9014,-118.205,4,8.1
060370016,34.1439,-117.8508,4,7.4
060371302,33.9014,-118.205,5,5.6
060371103,34.066429,-118.226755,5,8.6
840060374009,33.793713,-118.171019,5,6.8
060370016,34.1439,-117.8508,5,8.6
060590007,33.830586,-117.938509,5,11.1
840060374010,34.181977,-118.363036,5,7.4
060371103,34.066429,-118.226755,6,5.7
060371302,33.9014,-118.205,6,6.1
840060374009,33.793713,-118.171019,6,6.1
840060374010,34.181977,-118.363036,6,7.4
060590007,33.830586,-117.938509,6,8.6
060370016,34.1439,-117.8508,6,10.6
060371103,34.066429,-118.226755,7,5.2
840060374009,33.793713,-118.171019,7,10.5
060590007,33.830586,-117.938509,7,6.9
060370016,34.1439,-117.8508,7,9.8
060371302,33.9014,-118.205,7,10.5
840060374010,34.181977,-118.363036,7,6.6
060370016,34.1439,-117.8508,8,14.2
840060374010,34.181977,-118.363036,8,7.8
060371302,33.9014,-118.205,8,14.2
060590007,33.830586,-117.938509,8,5.4
840060374009,33.793713,-118.171019,8,11.2
060371103,34.066429,-118.226755,8,8.8
060371103,34.066429,-118.226755,9,13.9
840060374010,34.181977,-118.363036,9,10.8
060590007,33.830586,-117.938509,9,7.1
060370016,34.1439,-117.8508,9,16.2
840060374009,33.793713,-118.171019,9,9.5
060371302,33.9014,-118.205,9,10.7
840060374009,33.793713,-118.171019,10,12.0
840060374010,34.181977,-118.363036,10,11.7
060590007,33.830586,-117.938509,10,9.9
060371302,33.9014,-118.205,10,7.8
060371103,34.066429,-118.226755,10,9.8
060370016,34.1439,-117.8508,10,14.0
060371302,33.9014,-118.205,11,9.5
060370016,34.1439,-117.8508,11,11.5
060371103,34.066429,-118.226755,11,12.4
840060374009,33.793713,-118.171019,11,11.7
060590007,33.830586,-117.938509,11,11.1
840060374010,34.181977,-118.363036,11,13.2
060370016,34.1439,-117.8508,12,9.9
060371103,34.066429,-118.226755,12,9.0
840060374010,34.181977,-118.363036,12,10.8
840060374009,33.793713,-118.171019,12,8.8
060590007,33.830586,-117.938509,12,13.4
060371302,33.9014,-118.205,12,13.6
060371302,33.9014,-118.205,13,12.7
060370016,34.1439,-117.8508,13,10.3
840060374010,34.181977,-118.363036,13,5.7
060371103,34.066429,-118.226755,13,11.0
060590007,33.830586,-117.938509,13,18.3
840060374009,33.793713,-118.171019,13,10.5
840060374009,33.793713,-118.171019,14,14.9
060590007,33.830586,-117.938509,14,20.1
060370016,34.1439,-117.8508,14,11.3
060371302,33.9014,-118.205,14,12.2
840060374010,34.181977,-118.363036,14,8.3
060371103,34.066429,-118.226755,14,12.7
060590007,33.830586,-117.938509,15,12.0
060371103,34.066429,-118.226755,15,13.9
060370016,34.1439,-117.8508,15,19.4
060371302,33.9014,-118.205,15,12.4
840060374009,33.793713,-118.171019,15,21.5
840060374010,34.181977,-118.363036,15,12.5
840060374010,34.181977,-118.363036,16,13.5
840060374009,33.793713,-118.171019,16,21.5
060371302,33.9014,-118.205,16,15.4
060370016,34.1439,-117.8508,16,15.6
060590007,33.830586,-117.938509,16,17.1
060371103,34.066429,-118.226755,16,11.5
060371302,33.9014,-118.205,17,20.1
060590007,33.830586,-117.938509,17,20.3
060371103,34.066429,-118.226755,17,12.7
840060374009,33.793713,-118.171019,17,16.9
060370016,34.1439,-117.8508,17,23.8
840060374010,34.181977,-118.363036,17,11.5
840060374010,34.181977,-118.363036,18,10.3
060371302,33.9014,-118.205,18,13.0
060371103,34.066429,-118.226755,18,12.4
060590007,33.830586,-117.938509,18,16.7
840060374009,33.793713,-118.171019,18,11.0
060370016,34.1439,-117.8508,18,19.1
840060374009,33.793713,-118.171019,19,10.0
060590007,33.830586,-117.938509,19,17.4
060371103,34.066429,-118.226755,19,9.1
060371302,33.9014,-118.205,19,8.5
060370016,34.1439,-117.8508,19,14.9
060371302,33.9014,-118.205,20,6.6
060370016,34.1439,-117.8508,20,17.7
840060374009,33.793713,-118.171019,20,9.5
060590007,33.830586,-117.938509,20,12.7
060371103,34.066429,-118.226755,20,9.3
060371103,34.066429,-118.226755,21,8.6
060371302,33.9014,-118.205,21,6.8
060370016,34.1439,-117.8508,21,15.7
060590007,33.830586,-117.938509,21,15.2
840060374009,33.793713,-118.171019,21,8.3
060370016,34.1439,-117.8508,22,16.0
840060374010,34.181977,-118.363036,22,10.8
060590007,33.830586,-117.938509,22,8.9
840060374009,33.793713,-118.171019,22,9.8
060371103,34.066429,-118.226755,22,6.0
060371302,33.9014,-118.205,22,9.5
060590007,33.830586,-117.938509,23,5.4
840060374009,33.793713,-118.171019,23,6.1
060371103,34.066429,-118.226755,23,7.2
060371302,33.9014,-118.205,23,9.0
840060374010,34.181977,-118.363036,23,8.6
060370016,34.1439,-117.8508,23,16.0
060371103,34.066429,-118.226755,24,4.5
840060374009,33.793713,-118.171019,24,5.1
060370016,34.1439,-117.8508,24,13.3
060371302,33.9014,-118.205,24,5.4
060590007,33.830586,-117.938509,24,4.9
840060374010,34.181977,-118.363036,24,7.6
840060374009,33.793713,-118.171019,25,3.9
060371103,34.066429,-118.226755,25,6.2
060370016,34.1439,-117.8508,25,12.8
060590007,33.830586,-117.938509,25,6.9
840060374010,34.181977,-118.363036,25,7.4
060371302,33.9014,-118.205,25,4.6
060371103,34.066429,-118.226755,26,6.0
840060374009,33.793713,-118.171019,26,4.9
060371302,33.9014,-118.205,26,9.0
060590007,33.830586,-117.938509,26,4.2
060370016,34.1439,-117.8508,26,12.6
840060374010,34.181977,-118.363036,26,11.3
060590007,33.830586,-117.938509,27,4.4
060371103,34.066429,-118.226755,27,6.2
840060374009,33.793713,-118.171019,27,4.2
060370016,34.1439,-117.8508,27,7.9
840060374010,34.181977,-118.363036,27,11.0
060371302,33.9014,-118.205,27,9.3
840060374009,33.793713,-118.171019,28,4.6
060371103,34.066429,-118.226755,28,4.8
060371302,33.9014,-118.205,28,7.1
060590007,33.830586,-117.938509,28,9.6
060370016,34.1439,-117.8508,28,4.0
840060374010,34.181977,-118.363036,28,11.0
840060374010,34.181977,-118.363036,29,10.0
060370016,34.1439,-117.8508,29,1.3
060371302,33.9014,-118.205,29,6.6
840060374009,33.793713,-118.171019,29,5.8
060590007,33.830586,-117.938509,29,10.1
060371103,34.066429,-118.226755,29,6.7
060371302,33.9014,-118.205,30,5.1
840060374009,33.793713,-118.171019,30,7.3
060371103,34.066429,-118.226755,30,7.2
840060374010,34.181977,-118.363036,30,9.1
060590007,33.830586,-117.938509,30,9.9
060370016,34.1439,-117.8508,30,2.3
060370016,34.1439,-117.8508,31,6.9
060590007,33.830586,-117.938509,31,8.8
840060374009,33.793713,-118.171019,31,4.4
060371302,33.9014,-118.205,31,6.1
060371103,34.066429,-118.226755,31,6.2
840060374010,34.181977,-118.363036,31,8.8
060370016,34.1439,-117.8508,32,9.8
840060374010,34.181977,-118.363036,32,8.6
060371302,33.9014,-118.205,32,9.0
060590007,33.830586,-117.938509,32,6.9
840060374009,33.793713,-118.171019,32,5.1
060371103,34.066429,-118.226755,32,12.2
060371302,33.9014,-118.205,33,10.3
060590007,33.830586,-117.938509,33,8.1
840060374010,34.181977,-118.363036,33,8.6
060370016,34.1439,-117.8508,33,10.6
840060374009,33.793713,-118.171019,33,12.2
060371103,34.066429,-118.226755,33,7.4
840060374009,33.793713,-118.171019,34,10.3
840060374010,34.181977,-118.363036,34,7.1
060590007,33.830586,-117.938509,34,6.6
060371103,34.066429,-118.226755,34,3.5
060371302,33.9014,-118.205,34,6.8
060370016,34.1439,-117.8508,34,6.4
060371103,34.066429,-118.226755,35,7.2
840060374010,34.181977,-118.363036,35,7.9
060371302,33.9014,-118.205,35,7.6
060590007,33.830586,-117.938509,35,7.9
060370016,34.1439,-117.8508,35,5.4
840060374009,33.793713,-118.171019,35,7.8
840060374009,33.793713,-118.171019,36,8.8
840060374010,34.181977,-118.363036,36,6.6
060590007,33.830586,-117.938509,36,7.3
060370016,34.1439,-117.8508,36,5.6
060371302,33.9014,-118.205,36,8.1
060371103,34.066429,-118.226755,36,8.1
840060374010,34.181977,-118.363036,37,6.6
840060374009,33.793713,-118.171019,37,5.6
060371302,33.9014,-118.205,37,9.0
060370016,34.1439,-117.8508,37,5.4
060371103,34.066429,-118.226755,37,6.4
060590007,33.830586,-117.938509,37,4.2
060371302,33.9014,-118.205,38,7.1
060370016,34.1439,-117.8508,38,8.9
840060374009,33.793713,-118.171019,38,13.4
