AQSID,Latitude,Longitude,ValidTime,PM25
060590007,33.830586,-117.938509,4,28.9
060371201,34.1992,-118.5331,4,17.0
840060374009,33.793713,-118.171019,4,17.9
060371302,33.9014,-118.205,4,17.1
060371103,34.066429,-118.226755,4,19.1
060370016,34.1439,-117.8508,4,22.4
840060374010,34.181977,-118.363036,4,18.5
060371103,34.066429,-118.226755,5,17.4
060371201,34.1992,-118.5331,5,11.6
060370016,34.1439,-117.8508,5,11.9
840060374010,34.181977,-118.363036,5,21.2
060590007,33.830586,-117.938509,5,24.7
060371302,33.9014,-118.205,5,25.9
840060374009,33.793713,-118.171019,5,16.9
060370016,34.1439,-117.8508,6,13.1
840060374009,33.793713,-118.171019,6,19.5
840060374010,34.181977,-118.363036,6,21.7
060371302,33.9014,-118.205,6,22.0
060371103,34.066429,-118.226755,6,23.0
060590007,33.830586,-117.938509,6,27.5
060371201,34.1992,-118.5331,6,11.1
840060374009,33.793713,-118.171019,7,16.4
060371302,33.9014,-118.205,7,27.9
060370016,34.1439,-117.8508,7,12.1
060371201,34.1992,-118.5331,7,12.1
060590007,33.830586,-117.938509,7,19.3
840060374010,34.181977,-118.363036,7,22.7
060371103,34.066429,-118.226755,7,21.5
060371302,33.9014,-118.205,8,39.4
060371201,34.1992,-118.5331,8,12.6
840060374009,33.793713,-118.171019,8,14.9
060590007,33.830586,-117.938509,8,26.7
060371103,34.066429,-118.226755,8,21.2
840060374010,34.181977,-118.363036,8,16.5
060370016,34.1439,-117.8508,8,7.7
840060374010,34.181977,-118.363036,9,18.5
060371201,34.1992,-118.5331,9,9.2
060370016,34.1439,-117.8508,9,6.0
060590007,33.830586,-117.938509,9,25.2
060371103,34.066429,-118.226755,9,20.5
060371302,33.9014,-118.205,9,24.7
840060374009,33.793713,-118.171019,9,14.9
060371103,34.066429,-118.226755,10,19.3
060370016,34.1439,-117.8508,10,6.7
060590007,33.830586,-117.938509,10,21.8
060371302,33.9014,-118.205,10,21.5
840060374010,34.181977,-118.363036,10,11.8
840060374009,33.793713,-118.171019,10,9.8
060371201,34.1992,-118.5331,10,8.7
060590007,33.830586,-117.938509,11,13.7
840060374010,34.181977,-118.363036,11,15.8
060370016,34.1439,-117.8508,11,5.2
060371302,33.9014,-118.205,11,19.8
840060374009,33.793713,-118.171019,11,10.0
060371103,34.066429,-118.226755,11,19.3
060371201,34.1992,-118.5331,11,9.9
060371302,33.9014,-118.205,12,20.5
060371103,34.066429,-118.226755,12,17.8
840060374010,34.181977,-118.363036,12,13.1
060590007,33.830586,-117.938509,12,13.9
060370016,34.1439,-117.8508,12,3.3
060371201,34.1992,-118.5331,12,12.6
840060374009,33.793713,-118.171019,12,12.4
060590007,33.830586,-117.938509,13,13.4
060371201,34.1992,-118.5331,13,14.1
840060374009,33.793713,-118.171019,13,9.5
060371103,34.066429,-118.226755,13,19.1
060370016,34.1439,-117.8508,13,2.6
840060374010,34.181977,-118.363036,13,11.8
060371302,33.9014,-118.205,13,13.7
060370016,34.1439,-117.8508,14,4.2
060371201,34.1992,-118.5331,14,19.7
060371103,34.066429,-118.226755,14,15.1
060371302,33.9014,-118.205,14,23.0
060590007,33.830586,-117.938509,14,21.8
840060374009,33.793713,-118.171019,14,9.8
840060374010,34.181977,-118.363036,14,12.8
840060374009,33.793713,-118.171019,15,24.7
060371103,34.066429,-118.226755,15,15.9
060370016,34.1439,-117.8508,15,6.7
060371201,34.1992,-118.5331,15,17.5
840060374010,34.181977,-118.363036,15,20.4
060371302,33.9014,-118.205,15,23.0
060590007,33.830586,-117.938509,15,21.8
060370016,34.1439,-117.8508,16,7.9
060371302,33.9014,-118.205,16,25.9
060590007,33.830586,-117.938509,16,26.0
060371201,34.1992,-118.5331,16,20.2
060371103,34.066429,-118.226755,16,10.7
840060374010,34.181977,-118.363036,16,16.8
840060374009,33.793713,-118.171019,16,24.7
840060374010,34.181977,-118.363036,17,11.1
060371201,34.1992,-118.5331,17,9.6
060371302,33.9014,-118.205,17,31.9
060371103,34.066429,-118.226755,17,15.4
060590007,33.830586,-117.938509,17,22.3
060370016,34.1439,-117.8508,17,10.4
840060374010,34.181977,-118.363036,18,11.3
060371201,34.1992,-118.5331,18,10.9
060371103,34.066429,-118.226755,18,25.4
060590007,33.830586,-117.938509,18,23.0
060370016,34.1439,-117.8508,18,18.7
060371201,34.1992,-118.5331,19,13.6
060370016,34.1439,-117.8508,19,20.0
840060374010,34.181977,-118.363036,19,11.6
060371103,34.066429,-118.226755,19,18.6
060590007,33.830586,-117.938509,19,13.2
060370016,34.1439,-117.8508,20,17.0
840060374010,34.181977,-118.363036,20,21.2
060371103,34.066429,-118.226755,20,28.1
060590007,33.830586,-117.938509,20,14.7
060371201,34.1992,-118.5331,20,18.0
060371201,34.1992,-118.5331,21,16.3
060590007,33.830586,-117.938509,21,16.4
060371302,33.9014,-118.205,21,25.4
840060374009,33.793713,-118.171019,21,16.4
060371103,34.066429,-118.226755,21,23.2
840060374010,34.181977,-118.363036,21,28.3
060370016,34.1439,-117.8508,21,16.1
060371302,33.9014,-118.205,22,24.4
060370016,34.1439,-117.8508,22,17.2
060590007,33.830586,-117.938509,22,22.0
060371103,34.066429,-118.226755,22,21.7
840060374009,33.793713,-118.171019,22,16.6
840060374010,34.181977,-118.363036,22,13.8
060371201,34.1992,-118.5331,22,15.3
060371201,34.1992,-118.5331,23,14.6
060371103,34.066429,-118.226755,23,21.2
060370016,34.1439,-117.8508,23,18.2
840060374009,33.793713,-118.171019,23,19.3
060590007,33.830586,-117.938509,23,18.5
060371302,33.9014,-118.205,23,20.5
840060374010,34.181977,-118.363036,23,16.5
060590007,33.830586,-117.938509,24,17.8
840060374010,34.181977,-118.363036,24,17.3
840060374009,33.793713,-118.171019,24,16.6
060370016,34.1439,-117.8508,24,21.9
060371103,34.066429,-118.226755,24,21.2
060371201,34.1992,-118.5331,24,17.5
060371302,33.9014,-118.205,24,20.8
840060374009,33.793713,-118.171019,25,14.9
840060374010,34.181977,-118.363036,25,14.0
060370016,34.1439,-117.8508,25,19.5
060371201,34.1992,-118.5331,25,10.1
060371302,33.9014,-118.205,25,17.1
060590007,33.830586,-117.938509,25,27.2
060371103,34.066429,-118.226755,25,18.4
060590007,33.830586,-117.938509,26,23.8
840060374009,33.793713,-118.171019,26,12.7
060370016,34.1439,-117.8508,26,15.9
060371201,34.1992,-118.5331,26,12.8
840060374010,34.181977,-118.363036,26,23.4
060371103,34.066429,-118.226755,26,18.1
060371302,33.9014,-118.205,26,17.8
060371103,34.066429,-118.226755,27,18.1
840060374009,33.793713,-118.171019,27,13.7
060371201,34.1992,-118.5331,27,24.8
840060374010,34.181977,-118.363036,27,19.0
060590007,33.830586,-117.938509,27,17.4
060371302,33.9014,-118.205,27,20.1
060370016,34.1439,-117.8508,27,14.6
060370016,34.1439,-117.8508,28,10.9
060371302,33.9014,-118.205,28,15.8
060371201,34.1992,-118.5331,28,20.5
060590007,33.830586,-117.938509,28,16.9
840060374009,33.793713,-118.171019,28,14.2
060371103,34.066429,-118.226755,28,20.0
840060374010,34.181977,-118.363036,28,18.3
840060374010,34.181977,-118.363036,29,20.0
060371103,34.066429,-118.226755,29,21.7
840060374009,33.793713,-118.171019,29,14.4
060370016,34.1439,-117.8508,29,12.4
060590007,33.830586,-117.938509,29,23.3
060371201,34.1992,-118.5331,29,17.0
060371302,33.9014,-118.205,29,18.3
060370016,34.1439,-117.8508,30,11.4
840060374009,33.793713,-118.171019,30,6.0
060371103,34.066429,-118.226755,30,16.8
060371302,33.9014,-118.205,30,17.6
840060374010,34.181977,-118.363036,30,20.2
060590007,33.830586,-117.938509,30,13.4
060371201,34.1992,-118.5331,30,15.5
060371103,34.066429,-118.226755,31,15.9
060370016,34.1439,-117.8508,31,10.4
060371201,34.1992,-118.5331,31,15.0
840060374010,34.181977,-118.363036,31,20.9
840060374009,33.793713,-118.171019,31,7.0
060590007,33.830586,-117.938509,31,11.6
060371302,33.9014,-118.205,31,12.2
060370016,34.1439,-117.8508,32,9.9
840060374010,34.181977,-118.363036,32,15.3
840060374009,33.793713,-118.171019,32,8.5
060371103,34.066429,-118.226755,32,14.9
060590007,33.830586,-117.938509,32,8.4
060371201,34.1992,-118.5331,32,14.8
060371302,33.9014,-118.205,32,26.9
060370016,34.1439,-117.8508,33,5.2
840060374009,33.793713,-118.171019,33,10.3
840060374010,34.181977,-118.363036,33,20.4
060590007,33.830586,-117.938509,33,10.6
060371103,34.066429,-118.226755,33,14.6
060371302,33.9014,-118.205,33,12.2
060371201,34.1992,-118.5331,33,15.5
840060374009,33.793713,-118.171019,34,6.8
060371302,33.9014,-118.205,34,10.3
060371103,34.066429,-118.226755,34,16.6
060371201,34.1992,-118.5331,34,14.1
840060374010,34.181977,-118.363036,34,16.5
060370016,34.1439,-117.8508,34,5.2
060590007,33.830586,-117.938509,34,11.6
060370016,34.1439,-117.8508,35,8.6
840060374009,33.793713,-118.171019,35,6.6
060371103,34.066429,-118.226755,35,15.4
060371302,33.9014,-118.205,35,16.1
060371201,34.1992,-118.5331,35,20.2
060590007,33.830586,-117.938509,35,10.6
840060374010,34.181977,-118.363036,35,18.5
060370016,34.1439,-117.8508,36,8.4
060371103,34.066429,-118.226755,36,20.7
840060374010,34.181977,-118.363036,36,16.3
060590007,33.830586,-117.938509,36,12.2
060371201,34.1992,-118.5331,36,19.2
840060374009,33.793713,-118.171019,36,12.9
060371302,33.9014,-118.205,36,11.7
060370016,34.1439,-117.8508,37,7.9
060590007,33.830586,-117.938509,37,17.9
840060374009,33.793713,-118.171019,37,14.1
840060374010,34.181977,-118.363036,37,16.8
060371103,34.066429,-118.226755,37,14.4
060371302,33.9014,-118.205,37,10.5
060371201,34.1992,-118.5331,37,17.0
840060374010,34.181977,-118.363036,38,18.5
060370016,34.1439,-117.8508,38,19.4
060371302,33.9014,-118.205,38,14.4
840060374009,33.793713,-118.171019,38,14.6
060590007,33.830586,-117.938509,38,15.2
060371103,34.066429,-118.226755,38,20.5
060371201,34.1992,-118.5331,38,19.2
840060374009,33.793713,-118.171019,39,14.4
060371201,34.1992,-118.5331,39,30.7
060370016,34.1439,-117.8508,39,17.2
060371103,34.066429,-118.226755,39,24.4
060371302,33.9014,-118.205,39,15.6
840060374010,34.181977,-118.363036,39,18.8
060590007,33.830586,-117.938509,39,17.9
060370016,34.1439,-117.8508,40,22.8
060590007,33.830586,-117.938509,40,18.8
840060374009,33.793713,-118.171019,40,15.4
840060374010,34.181977,-118.363036,40,16.8
060371302,33.9014,-118.205,40,16.6
060371103,34.066429,-118.226755,40,27.9
060371201,34.1992,-118.5331,40,28.3
060371201,34.1992,-118.5331,41,24.0
060371302,33.9014,-118.205,41,25.2
840060374009,33.793713,-118.171019,41,14.2
060590007,33.830586,-117.938509,41,20.6
060371103,34.066429,-118.226755,41,22.5
060370016,34.1439,-117.8508,41,22.9
840060374010,34.181977,-118.363036,41,22.9
